section,detail,p_value,source
WCST Loneliness x Gender,Interaction beta=2.594,0.00424,gender_simple_slopes.csv line 2
WCST Permutation,Observed beta=2.594,0.003,gender_permutation_test.csv line 2
WCST Bootstrap CI,"95% CI [0.814, 4.469]",,gender_bootstrap_ci.csv line 2
Low Anxiety PE,beta=4.279,0.008206,deep_dive_analysis/dass_2x2x2/anxiety_buffering_profiles.csv line 6
Low Anxiety Accuracy,beta=-8.737,0.02055,deep_dive_analysis/dass_2x2x2/anxiety_buffering_profiles.csv line 7
PRP T2 SD Long male,r=0.519,0.005532,prp_deep_dive/rt_variability/gender_stratified_correlations.csv line 2
Low Stress PRP T2 SD male,r=0.700,0.01132,dass_stratification/stress_stratification.csv line 2
PRP tau long SOA male,r=0.579,0.001567,mechanism_analysis/exgaussian/prp_exgaussian_gender_correlations.csv
PRP mu short SOA male,r=0.449,0.01885,mechanism_analysis/exgaussian/prp_exgaussian_gender_correlations.csv
PRP sigma short SOA male,r=0.441,0.02115,mechanism_analysis/exgaussian/prp_exgaussian_gender_correlations.csv
PRP tau short SOA female,r=-0.384,0.00925,mechanism_analysis/exgaussian/prp_exgaussian_gender_correlations.csv
PRP sigma short SOA female,r=0.346,0.02009,mechanism_analysis/exgaussian/prp_exgaussian_gender_correlations.csv
PRP sigma long SOA female,r=0.393,0.008295,mechanism_analysis/exgaussian/prp_exgaussian_gender_correlations.csv
PRP mu bottleneck male,r=0.479,0.01155,mechanism_analysis/exgaussian/prp_exgaussian_bottleneck_correlations.csv
PRP sigma bottleneck male,r=0.511,0.006464,mechanism_analysis/exgaussian/prp_exgaussian_bottleneck_correlations.csv
Post-shift PE interaction,beta=5.485,0.03258,wcst_trial_dynamics/post_shift_errors.csv derived
Error chain mean length,beta=0.149,0.03119,wcst_trial_dynamics/error_chains.csv derived
Reverse OLS WCST PE,beta=2.613,0.02891,ef_alternative/ef_reverse_regression_coefficients.csv line 5
Reverse OLS WCST accuracy,beta=-4.522,0.03611,ef_alternative/ef_reverse_regression_coefficients.csv line 13
