﻿outcome,outcome_column,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla_ols,p_ucla_wald,ucla_beta,ucla_se,ucla_t,ucla_p,delta_r2_interaction,p_interaction_ols,p_interaction_wald,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p
WCST Bayesian RL beta,wcst_brl_beta,197,0.0132058651707404,0.0177831828857861,0.0226878094490584,0.0481585009054785,0.0045773177150457,0.8277565167653606,0.0049046265632722,0.3300685422988904,0.3300685422988849,-0.1448904944591233,0.1483804825336936,-0.9764794667399884,0.3300685422988767,0.0254706914564201,0.0256734026204929,0.0256734026204929,z_ucla_score:C(gender_male)[T.1],-0.4937992984422199,0.2195743049991722,-2.2488938240933134,0.0256734026204927,119,0.1062300712006009,0.1734251890014496,0.5414104823224999,78,-0.5305167046028683,0.2692737774721903,0.0526645970925601
Stroop RT Incongruent minus Neutral,stroop_rt_incong_minus_neutral,197,0.0068494209038663,0.0246313009516183,0.026025703388414,0.0460653086338008,0.017781880047752,0.3260203696828892,0.0013944024367956,0.6025901221004393,0.6025901221004393,4.374161268328405,8.386826749441301,0.5215514042447336,0.6025901221004406,0.0200396052453868,0.0477463761460349,0.0477463761460355,z_ucla_score:C(gender_male)[T.1],24.799246467945174,12.445785825347912,1.9925818117034757,0.0477463761460346,119,-6.710756306565106,10.76547512539644,0.5343047945055742,78,19.34044833128497,13.385087801551112,0.1528171884643784
Stroop RT Incongruent minus Neutral (Correct-only),stroop_rt_incong_minus_neutral_correct,197,0.0075677015877976,0.0224250442892653,0.0230498523891153,0.0429589074266295,0.0148573427014677,0.4091333537780443,0.0006248080998499,0.7277836987307359,0.7277836987307359,3.0039543132149054,8.61746243071267,0.3485891975007399,0.7277836987307256,0.0199090550375141,0.0488321613590114,0.0488321613590099,z_ucla_score:C(gender_male)[T.1],25.359372374922675,12.78932335828067,1.9828548911075352,0.0488321613590094,119,-7.917756201702557,11.14037060302786,0.4787181246319462,78,17.81315108628015,13.5931854730457,0.1942096309746067
Stroop Post-Error Accuracy,stroop_post_error_accuracy,88,0.0510376722940183,0.0802605036262015,0.0802634426485298,0.1421456298339203,0.0292228313321831,0.4609418669951139,2.939022328285468e-06,0.9872034487005888,0.9872034487005888,0.0004680515226343,0.0290925262407279,0.0160883767453338,0.9872034487006784,0.0618821871853905,0.0186108235000537,0.0186108235000537,z_ucla_score:C(gender_male)[T.1],0.1002934441787937,0.0417495221074016,2.402265681527721,0.0186108235000538,44,-0.0877190802769062,0.0328976562780358,0.0111983999545883,44,0.0921467138748589,0.0478476270964139,0.0616311252006076
Stroop Slow Run Max (correct),stroop_slow_run_max_correct,197,0.0271801829845801,0.0336915889169214,0.0349575240477583,0.0630125357306381,0.0065114059323413,0.7324428594463439,0.0012659351308368,0.6181879394425395,0.6181879394425692,0.148184126767592,0.2968194617842116,0.4992399281261488,0.618187939442552,0.0280550116828798,0.0183625815425214,0.0183625815425211,z_ucla_score:C(gender_male)[T.1],-1.0432643465907476,0.4385560705575881,-2.378861944070965,0.0183625815425208,119,0.6823680795942944,0.3181244096011461,0.0340963725483176,78,-0.6357051724589688,0.5766360030909928,0.273942942962554
Stroop RT Fatigue Slope (Q4-Q1),stroop_rt_fatigue_slope,197,0.0375648737838639,0.0473939472618758,0.0474373584321593,0.0706188888491964,0.0098290734780118,0.5795407145768482,4.341117028350272e-05,0.9259594350421856,0.9259594350420958,1.217659103326932,13.085639302277778,0.0930530847747712,0.9259594350420932,0.023181530417037,0.0311602566580985,0.0311602566580985,z_ucla_score:C(gender_male)[T.1],42.08130550873162,19.38135655684596,2.171226012240485,0.0311602566580981,119,-20.148488427759727,15.75905562822386,0.203680925849016,78,34.62703980807968,23.108524568263643,0.1383873574589893
Stroop Accuracy Fatigue Slope (Q4-Q1),stroop_acc_fatigue_slope,197,0.0238763586454886,0.0284543500899063,0.029079827965311,0.0594183218119288,0.0045779914444177,0.8253708333891031,0.0006254778754046,0.7268332470857466,0.7268332470857013,0.0010636431983242,0.0030402195872424,0.3498573599050382,0.7268332470857075,0.0303384938466177,0.0144350853773146,0.0144350853773146,z_ucla_score:C(gender_male)[T.1],-0.0110784800221978,0.0044869427256523,-2.469048681825385,0.0144350853773146,119,0.0053546719040898,0.0031765750346947,0.0946179943340587,78,-0.0057941803790117,0.0060714538260131,0.343108947022528
Stroop IIV Slope,stroop_slope,197,0.0321992864633148,0.042133416836759,0.0421352615050055,0.0616583958439005,0.0099341303734442,0.5774401045412423,1.8446682464867688e-06,0.9847585655123732,0.9847585655110552,0.3119113843792516,16.305997926512827,0.01912862897352,0.9847585655108524,0.0195231343388949,0.0488145389592579,0.04881453895926,z_ucla_score:C(gender_male)[T.1],47.98881667692505,24.199971466438505,1.9830112917065983,0.0488145389592587,119,-22.04516662330183,19.347737308584183,0.2569382953922821,78,33.36464850640958,29.47880112399172,0.2614663360743181
WCST Trials per Category Mean,wcst_trials_per_category_mean,197,0.0010850757745259,0.0688959471679795,0.0699635841943399,0.0917701066691949,0.0678108713934535,0.0037371103241488,0.0010676370263603,0.6410182516174043,0.6410182516174043,-0.4991182832936626,1.0687222269397925,-0.4670233955205097,0.6410182516173977,0.021806522474855,0.0344459775029351,0.034445977502936,z_ucla_score:C(gender_male)[T.1],3.37347931541382,1.583623139332072,2.130228607821845,0.034445977502935,119,-0.5639779871398466,1.1410052528172911,0.6220667937900194,78,-1.3646027305284276,2.065800555971836,0.5109970726491462
WCST Slow-State Prob Delta (Shift k4),wcst_slow_prob_shift_k4_delta,195,0.0121836232286863,0.0146903212041014,0.0153546651755926,0.038735793405765,0.002506697975415,0.9229395710515776,0.0006643439714912,0.7221260137699963,0.7221260137698648,-0.0052547736332064,0.0147542963413099,-0.3561521004897975,0.7221260137698646,0.0233811282301723,0.0342526651833187,0.0342526651833197,z_ucla_score:C(gender_male)[T.1],0.0479108771328992,0.0224647697835493,2.132711690105262,0.0342526651833206,118,-0.0215089556156837,0.0197486218494867,0.2784313995752879,77,0.013629816330931,0.0217738729932712,0.5333410877147415
