Variable,Column,Male_N,Male_Mean,Male_SD,Female_N,Female_Mean,Female_SD,t,p,Cohen_d,Significant
Age (years),age,82,21.109756097560975,2.119900402744184,130,19.923076923076923,3.9011335752998186,2.862397596900175,0.004638486046363905,0.3564692769082994,True
UCLA Loneliness,ucla_score,82,38.073170731707314,11.674368344458545,130,42.246153846153845,10.474081365029784,-2.6360758709494596,0.009220978507004289,-0.38100236749245014,True
DASS-21 Depression,dass_depression,82,6.146341463414634,7.973911088970254,130,8.569230769230769,7.875916052578454,-2.1648825041558784,0.03178482756362292,-0.30615779785892583,True
DASS-21 Anxiety,dass_anxiety,82,4.804878048780488,6.276428614887912,130,6.123076923076923,5.644528646171248,-1.547621502279363,0.12370431739242438,-0.22356412876711837,False
DASS-21 Stress,dass_stress,82,9.073170731707316,8.30406785309239,130,10.753846153846155,7.179926300567036,-1.5108182529667307,0.1328851170698916,-0.22018076147341017,False
Stroop Interference RT,stroop_interference,82,130.4919923810275,97.37570091648867,130,145.12679152839766,108.36907203513225,-1.0197244989200132,0.3091851138950021,-0.14035998288579524,False
Stroop Interference RT Slope,stroop_interference_slope,82,6.056398107562957,63.87441541080208,130,-4.033977038571484,60.147428472088244,1.1455693813508026,0.25363606887124224,0.16377369709888032,False
WCST Perseverative Error Rate (%),wcst_perseverative_error_rate,82,10.383587695737766,6.556746538046615,130,10.892144600764553,5.809545091831675,-0.5743926638968259,0.5665245983656304,-0.08325276469763969,False
WCST Exploration RT (ms),wcst_exploration_rt,81,1928.6295055527603,586.4433831155724,128,2056.598558289121,626.8535244719958,-1.4961503152965112,0.13637880477805667,-0.20925268801265545,False
WCST Confirmation RT (ms),wcst_confirmation_rt,82,1767.110115174354,464.2267324378983,130,1943.912277778143,535.4187894918558,-2.543111483381308,0.011783905775780562,-0.3472566904779691,True
WCST Exploitation RT (ms),wcst_exploitation_rt,82,1262.5979686487342,305.2744350478383,130,1452.9595054109013,427.2451459048746,-3.77666128757689,0.00020777574184249335,-0.49469356542907034,True
