outcome,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla_wald,delta_r2_interaction,p_interaction_wald
WCST Perseverative Error Rate,197,0.0022551151733318786,0.0344507128099254,0.034490472991888566,0.03449051836377959,0.03219559763659352,0.0987021509955256,3.976018196316655e-05,0.9296081616219352,4.537189102205019e-08,0.9976252875695171
Stroop Interference Effect,197,0.00928986382769137,0.014792444771866142,0.017732201518040336,0.02517369640186151,0.005502580944174773,0.7851466772110198,0.0029397567461741936,0.4517345887396801,0.007441494883821176,0.2311959738129245
PRP Delay Effect,197,0.09148162402075988,0.09727102557036615,0.10503128733775013,0.11862493823206177,0.005789401549606277,0.747205711513741,0.00776026176738398,0.20086445834970398,0.013593650894311637,0.08940206903352729
WCST Accuracy (%),197,0.003733954622801572,0.006476168285943773,0.008863434053732355,0.01674101495600644,0.002742213663142201,0.9127370910018632,0.0023872657677885822,0.499553219898214,0.007877580902274084,0.22002674508791123
WCST Mean Reaction Time (ms),197,0.054003396490497124,0.06197519527795503,0.07645088065188765,0.07808831123273507,0.007971798787457907,0.6547340831636939,0.014475685373932623,0.08602641492650084,0.001637430580847421,0.563018965616858
WCST Reaction Time SD,197,0.0011150276707783124,0.00732356302734416,0.03399984292974434,0.03582098686608082,0.006208535356565847,0.7544514652768167,0.02667627990240018,0.023083973826673692,0.0018211439363364779,0.5509013605795559
WCST Perseverative Error Count,197,0.0005651716069298152,0.028569761325435428,0.028727383220359615,0.028728372777375277,0.028004589718505613,0.14212099365340672,0.000157621894924187,0.8607983820849043,9.895570156626121e-07,0.9889431211461397
WCST Post-Error Slowing (ms),196,0.005388686397835518,0.009846954379722606,0.03038587144701488,0.030390197432022203,0.004458267981887087,0.8360753482420766,0.020538917067292273,0.046836730451020735,4.325985007325173e-06,0.9769259173568403
WCST Post-Switch Error Rate,195,0.019165188661350196,0.054750148871007376,0.055863477457939736,0.05802706110978939,0.03558496020965718,0.07180756876736027,0.0011133285869323606,0.6383009521301691,0.0021635836518496543,0.5130331644517052
WCST Reaction Time Coefficient of Variation,197,0.04512514367712661,0.05667025181912544,0.06651701661636977,0.0678017311180984,0.011545108141998828,0.506900415718279,0.009846764797244334,0.15850128712429015,0.0012847145017286232,0.6103919817474501
WCST RT MAD,197,0.011125056813486967,0.01887603819385497,0.029598985196167216,0.031229206343517335,0.007750981380368005,0.6806754683027015,0.010722947002312244,0.14899542281335842,0.0016302211473501194,0.5734540454630175
WCST RT IQR,197,0.006214522979906767,0.012889429152215581,0.0364019323251783,0.041155237899311414,0.006674906172308814,0.7313740775537625,0.023512503172962718,0.03256569007028728,0.004753305574133115,0.33430446247347667
