outcome,outcome_label,age_group,gender,n,ucla_beta,ucla_se,ucla_p,r_squared
pe_rate,WCST PE Rate,18-21,Female,84,-1.366683337684822,0.6946248364204337,0.04912410831985963,0.06938425341591214
pe_rate,WCST PE Rate,18-21,Male,34,0.20390647981418475,2.375919581122827,0.9316078139662006,0.012254610273479849
pe_rate,WCST PE Rate,22-25,Female,19,2.1683402233779736,2.6258686675655265,0.4089396195156483,0.15311190402423702
pe_rate,WCST PE Rate,22-25,Male,29,-0.4102248910952098,1.0029118843247644,0.682514833319998,0.020113524453152398
wcst_accuracy,WCST Accuracy,18-21,Female,84,2.6071234454123164,1.7846457997118916,0.14405297646678547,0.03617069568397013
wcst_accuracy,WCST Accuracy,18-21,Male,34,-2.16154138438237,5.8433631808191,0.7114466288056218,0.047531876392743366
wcst_accuracy,WCST Accuracy,22-25,Female,19,-0.6131864304180326,3.7244452609900196,0.8692286636012245,0.1803339928547687
wcst_accuracy,WCST Accuracy,22-25,Male,29,0.26015004809671105,1.5125866150154588,0.8634452471509309,0.045905638759975
stroop_interference,Stroop Interference,18-21,Female,84,-3.5965672443999637,17.859089677774396,0.840396909734948,0.015423746075850508
stroop_interference,Stroop Interference,18-21,Male,34,4.112044654192887,35.93563876529379,0.9088984885029592,0.188422110624629
stroop_interference,Stroop Interference,22-25,Female,19,22.461090132125157,34.577285733087635,0.5159565132275389,0.24629818995326525
stroop_interference,Stroop Interference,22-25,Male,29,11.83359080375104,35.05328528338508,0.735673206285344,0.07445493865531105
prp_bottleneck,PRP Bottleneck,18-21,Female,82,17.919511768551452,29.45026564373665,0.542877854262626,0.06014886101897576
prp_bottleneck,PRP Bottleneck,18-21,Male,33,2.8594130873263977,44.760394350755156,0.9490636587922339,0.20035258429194436
prp_bottleneck,PRP Bottleneck,22-25,Female,18,-28.2906281249984,36.05336638356729,0.43263677781148624,0.3576661558508204
prp_bottleneck,PRP Bottleneck,22-25,Male,29,49.086375421144055,28.6111631297112,0.08622846786768965,0.4093915601889063
