outcome,term,estimate,std_error,stat,p_value,conf_low,conf_high,q_value
Stroop interference (ms),Intercept,98.39289626379119,121.54048367419152,0.8095483355780358,0.4181998118386797,-139.82207440120263,336.60786692878503,0.8093990165623152
Stroop interference (ms),C(gender)[T.male],-17.07818758412185,17.46625622745582,-0.977781807487517,0.32818225065487583,-51.311420734683686,17.155045566439988,0.7250214293226911
Stroop interference (ms),z_ucla,12.07912467436853,11.80847809003803,1.0229196838294365,0.3063458218845453,-11.065067094336335,35.223316443073394,0.7250214293226911
Stroop interference (ms),z_dass_dep,-18.794131664833863,10.267604806392567,-1.8304299804305593,0.06718566807134169,-38.91826729285365,1.3300039631859235,0.6270662353325225
Stroop interference (ms),z_dass_anx,12.887822179740242,10.405540357564428,1.238553860431793,0.21551076407463832,-7.506662160764074,33.28230652024456,0.7250214293226911
Stroop interference (ms),z_dass_stress,-8.721576349757363,12.099027310535744,-0.7208493811864264,0.4710021893621765,-32.435234126373935,14.992081426859208,0.8093990165623152
Stroop interference (ms),age,2.3987083985115225,5.950807385844616,0.4030895713777277,0.686882332169561,-9.264659756678874,14.062076553701917,0.8997162896105384
PRP bottleneck (short-long RT),Intercept,644.7472623136687,275.3264793595422,2.341755372797648,0.019193290399679836,105.11727877875546,1184.3772458485819,0.26870606559551774
PRP bottleneck (short-long RT),C(gender)[T.male],-96.39334852956047,25.341026389269132,-3.8038454736931664,0.00014246707067329913,-146.06084758380706,-46.725849475313886,0.003989077978852376
PRP bottleneck (short-long RT),z_ucla,18.816809342890032,17.950740506152233,1.048246969891909,0.2945248351984695,-16.365995544992643,53.99961423077271,0.7250214293226911
PRP bottleneck (short-long RT),z_dass_dep,-22.718975655318147,19.650734496364244,-1.156138751939353,0.24762440741100866,-61.233707537950906,15.795756227314612,0.7250214293226911
PRP bottleneck (short-long RT),z_dass_anx,4.8759520598059956,19.305188233349746,0.25257210656888496,0.8005988870060311,-32.96152159232594,42.71342571193793,0.8997162896105384
PRP bottleneck (short-long RT),z_dass_stress,-1.382413631813892,20.4720278549725,-0.06752695148752029,0.9461622068042497,-41.50685091806076,38.742023654432984,0.9799881459779484
PRP bottleneck (short-long RT),age,-0.3377697465623495,13.465669235896938,-0.02508376974401829,0.9799881459779484,-26.729996476649333,26.054456983524638,0.9799881459779484
WCST total errors,Intercept,24.69272543254914,22.02639213347918,1.1210517493247223,0.2622658353770839,-18.478209858426418,67.8636607235247,0.7250214293226911
WCST total errors,C(gender)[T.male],-5.3292052579967,3.94834146268709,-1.3497326176976212,0.17710176568184932,-13.067812323529594,2.4094018075361934,0.7250214293226911
WCST total errors,z_ucla,-2.0530603012939292,2.136666159672983,-0.9608708838296717,0.33661709218553515,-6.240849021238484,2.1347284186506257,0.7250214293226911
WCST total errors,z_dass_dep,-0.4382613462887046,3.905210260956529,-0.11222477587707616,0.9106451849473052,-8.092332809819768,7.215810117242359,0.9799881459779484
WCST total errors,z_dass_anx,-2.9048590540901733,2.9154736423725818,-0.996359223376902,0.31907563795394545,-8.619082391016242,2.8093642828358965,0.7250214293226911
WCST total errors,z_dass_stress,3.4323154212625995,2.5636197500443334,1.3388551173407224,0.18061784343525644,-1.5922869588798698,8.45691780140507,0.7250214293226911
WCST total errors,age,-0.29087468696024577,1.072894078171939,-0.2711122121727575,0.7863047292539632,-2.3937084394035475,1.8119590654830562,0.8997162896105384
Latent meta-control factor,Intercept,-1.9936814437227361,2.7277969698640967,-0.7308760387038866,0.46485487297631123,-7.340065261793857,3.352702374348384,0.8093990165623152
Latent meta-control factor,C(gender)[T.male],0.20274703590999316,0.4025142556613979,0.5037015038805173,0.6144711514082744,-0.5861664084502942,0.9916604802702806,0.8989357064479768
Latent meta-control factor,z_ucla,0.1154615036010486,0.24842775366964248,0.46476893944220304,0.6420969331771263,-0.3714479463516389,0.6023709535537362,0.8989357064479768
Latent meta-control factor,z_dass_dep,-0.07788263735304836,0.31271240522053423,-0.24905515755962152,0.803318115723695,-0.6907876891041906,0.535022414398094,0.8997162896105384
Latent meta-control factor,z_dass_anx,0.08929478731247067,0.23951226557207508,0.3728192671017915,0.7092829619694625,-0.3801406270643892,0.5587302016893305,0.8997162896105384
Latent meta-control factor,z_dass_stress,-0.13264457479042732,0.2697903029873899,-0.491658051907919,0.6229610973034927,-0.6614238520238604,0.39613470244300575,0.8989357064479768
Latent meta-control factor,age,0.09425081566353825,0.13698236283666484,0.6880507366917092,0.49142083148426274,-0.1742296820135228,0.3627313133405993,0.8093990165623152
