file,p_column,p_value,coefficient,effect
extreme_group_median_results.csv,p,4.328666469241161e-07,,
extreme_group_median_results.csv,p,1.1277619635867302e-05,,
extreme_group_median_results.csv,p,1.307658785789272e-05,,
extreme_group_quartile_results.csv,p,1.1129231532838983e-06,,
extreme_group_quartile_results.csv,p,5.209159592829135e-05,,
extreme_group_quartile_results.csv,p,3.433456869050625e-06,,
gamma_hypothesis_summary_fixed.csv,p_value,0.0205196743545414,2.7380274733269383,
gender_simple_slopes.csv,p_interaction,0.0042404859482175,,WCST Perseverative Error Rate
imputation_sensitivity_samples.csv,p_value,0.0482997077857258,-46.65977369688389,prp_bottleneck
loneliness_models_coefficients_py.csv,p_value,0.0449460646518881,10.199896495488412,Stroop interference (ms)
loneliness_models_coefficients_py.csv,p_value,0.0044183742800448,416.55577406295794,PRP bottleneck (short-long RT)
loneliness_models_coefficients_py.csv,p_value,0.0039169406787586,-104.16069175213649,PRP bottleneck (short-long RT)
loneliness_models_coefficients_py.csv,p_value,0.0454894568496055,13.56674193206011,PRP bottleneck (short-long RT)
loneliness_models_coefficients_py.csv,p_value,0.0021442793991859,32.17751366447698,WCST total errors
loneliness_models_coefficients_py.csv,p_value,0.0472813879524549,-0.5394881464733594,Latent meta-control factor
loneliness_models_fit_py.csv,p_value,0.0152530603933747,,PRP bottleneck (short-long RT)
loneliness_quartile_coefficients_py.csv,p_value,0.0026760354549679,440.6409430199526,PRP bottleneck (short-long RT)
loneliness_quartile_coefficients_py.csv,p_value,0.005398317925599,-105.72811141906776,PRP bottleneck (short-long RT)
loneliness_quartile_coefficients_py.csv,p_value,0.0445000030753135,13.633674605914814,PRP bottleneck (short-long RT)
loneliness_quartile_coefficients_py.csv,p_value,0.0043942014273613,33.28120087144003,WCST total errors
loneliness_quartile_fit_py.csv,p_value,0.0205361808457736,,PRP bottleneck (short-long RT)
lpa_posthoc.csv,p_value,0.0358809571372266,,
cross_task_correlations\cross_task_correlations.csv,p,0.0033647769635194,0.5438597275283947,
dass_components\dass_component_3way_models.csv,ucla_gender_pvalue,0.0397738706963517,,
female_compensation_costs\compensation_costs_results.csv,p,0.000922992771688,9.593603193986082,PRP T2 Mean RT
female_compensation_costs\compensation_costs_results.csv,p,3.5740790466761927e-10,0.9353516735393071,DASS Total
female_compensation_costs\compensation_costs_results.csv,p,1.471028890315453e-07,1.3960789775914642,DASS Total
female_compensation_costs\compensation_costs_results.csv,p,1.056469071966708e-05,0.2506242445835488,DASS Anxiety
female_compensation_costs\compensation_costs_results.csv,p,0.0002303779779716,0.3455547124985761,DASS Anxiety
female_compensation_costs\compensation_costs_results.csv,p,7.431508658524878e-11,0.4097261941610657,DASS Depression
female_compensation_costs\compensation_costs_results.csv,p,6.634073652072694e-07,0.5621726840646439,DASS Depression
female_compensation_costs\compensation_costs_results.csv,p,0.0001375753511928,0.2750012347946924,DASS Stress
female_compensation_costs\compensation_costs_results.csv,p,2.773348521513697e-06,0.4883515810282439,DASS Stress
individual_profiles\profile_group_comparisons.csv,p_value,0.0002347840159345,,
individual_profiles\profile_group_comparisons.csv,p_value,0.0013547289979669,,
individual_profiles\profile_group_comparisons.csv,p_value,0.0023397941871448,,
individual_profiles\profile_group_comparisons.csv,p_value,0.0493793875909841,,
individual_profiles\profile_group_comparisons.csv,p_value,0.0445468047413488,,
individual_profiles\profile_group_comparisons.csv,p_value,0.0168840602705273,,
individual_profiles\profile_group_comparisons.csv,p_value,0.0317560124643876,,
male_vulnerability_comprehensive\male_vulnerability_correlations.csv,p,0.0263244805624881,20.497060803193808,
male_vulnerability_comprehensive\male_vulnerability_correlations.csv,p,0.0268106739913325,26.213766292679985,
mechanism_analysis\dass_stratified_moderation.csv,interaction_pval,0.0082062137694508,,pe_rate
mechanism_analysis\dass_stratified_moderation.csv,interaction_pval,0.0205527439392567,,wcst_accuracy
mechanism_analysis\dass_stratified_moderation.csv,interaction_pval,0.0058404125218824,,pe_rate
mechanism_analysis\dass_stratified_moderation.csv,interaction_pval,0.0468295113334145,,wcst_accuracy
prp_comprehensive_dass_controlled\prp_dass_controlled_regression_results.csv,p_ucla,0.0324894074805691,76.97972881840315,T2 RT Variability (IQR)
prp_comprehensive_dass_controlled\prp_dass_controlled_regression_results.csv,p_ucla,0.0173493689132192,0.1070451668447702,Error Cascade Rate
prp_comprehensive_dass_controlled\prp_dass_controlled_regression_results.csv,p_ucla,0.0222384850509993,0.1083408899448524,Error Cascade Rate
