variable,profile,n,mean,sd,median
ucla_total,Vulnerable,5,50.2,9.338094023943002,44.0
ucla_total,Resilient,4,49.75,4.349329450233296,50.5
ucla_total,Control,16,32.375,6.333771914638754,33.5
pe_rate,Vulnerable,5,17.2133658008658,3.883981132019337,15.873015873015872
pe_rate,Resilient,4,7.195289605208242,1.6255261983373885,7.955572775410047
pe_rate,Control,16,9.136317328407248,2.7490989924375895,9.249656855269178
wcst_accuracy,Vulnerable,5,67.58680555555557,15.291039461983354,75.0
wcst_accuracy,Resilient,4,88.04382785397895,4.834826411802555,85.93987245672639
wcst_accuracy,Control,16,85.48276910719787,4.064335952728305,85.02581755593803
wcst_sd_rt,Vulnerable,5,2834.583262605728,2201.437537669645,2691.9327845605426
wcst_sd_rt,Resilient,4,864.5508160619426,222.94886714071416,815.5838989202836
wcst_sd_rt,Control,16,1384.5617875045086,1468.8091092447607,989.7621977386187
dass_depression,Vulnerable,4,10.0,12.436505404118419,6.0
dass_depression,Resilient,4,13.0,5.773502691896258,13.0
dass_depression,Control,16,4.25,6.8068592855540455,2.0
dass_anxiety,Vulnerable,4,3.5,4.123105625617661,3.0
dass_anxiety,Resilient,4,12.0,5.887840577551898,12.0
dass_anxiety,Control,16,3.625,4.209117088733297,2.0
dass_stress,Vulnerable,4,10.0,7.118052168020874,12.0
dass_stress,Resilient,4,18.0,6.928203230275509,20.0
dass_stress,Control,16,7.0,5.609515724790034,6.0
age,Vulnerable,5,20.2,2.16794833886788,19.0
age,Resilient,4,20.25,1.5,20.0
age,Control,16,20.875,2.9410882339705484,19.5
prp_tau_long,Vulnerable,3,299.40030986138737,90.43730207183897,288.32184208843086
prp_tau_long,Resilient,3,170.12233066772941,22.1561292840103,165.47944700605436
prp_tau_long,Control,15,123.75473794607328,71.98450046418955,132.60941336999852
prp_sigma_long,Vulnerable,3,5.0,0.0,5.0
prp_sigma_long,Resilient,3,57.8518775771949,20.79487713352351,47.856146274326655
prp_sigma_long,Control,15,69.19522104938298,42.84881444788415,53.01847292685606
