gender,var1,var1_label,var2,var2_label,r,p,n
Male,ucla_total,UCLA,dass_depression,Depression,0.6877518106613467,3.430511489237379e-10,64
Male,ucla_total,UCLA,dass_anxiety,Anxiety,0.4533981763350597,0.0001682877987908329,64
Male,ucla_total,UCLA,dass_stress,Stress,0.5955609193088562,2.0904228469358258e-07,64
Male,dass_depression,Depression,dass_anxiety,Anxiety,0.6144235545996156,6.651612537142415e-08,64
Male,dass_depression,Depression,dass_stress,Stress,0.6903477496233369,2.767692434450865e-10,64
Male,dass_anxiety,Anxiety,dass_stress,Stress,0.7684430665240269,1.2402458452967061e-13,64
Female,ucla_total,UCLA,dass_depression,Depression,0.6412812235752863,1.3073060367243222e-13,106
Female,ucla_total,UCLA,dass_anxiety,Anxiety,0.4713294143466538,3.406131589138738e-07,106
Female,ucla_total,UCLA,dass_stress,Stress,0.44146019823928534,2.1701456932256155e-06,106
Female,dass_depression,Depression,dass_anxiety,Anxiety,0.6064549875778131,5.59335689795304e-12,106
Female,dass_depression,Depression,dass_stress,Stress,0.6022565762411053,8.53284661209913e-12,106
Female,dass_anxiety,Anxiety,dass_stress,Stress,0.7206712772764058,3.0565440460879138e-18,106
All,ucla_total,UCLA,dass_depression,Depression,0.6628613116627594,7.109571551185753e-23,170
All,ucla_total,UCLA,dass_anxiety,Anxiety,0.4687276634255068,1.1449425874213334e-10,170
All,ucla_total,UCLA,dass_stress,Stress,0.5069530861835063,1.7360519078997856e-12,170
All,dass_depression,Depression,dass_anxiety,Anxiety,0.6100013180625196,1.0514907152092308e-18,170
All,dass_depression,Depression,dass_stress,Stress,0.6369438913918679,9.942728214457053e-21,170
All,dass_anxiety,Anxiety,dass_stress,Stress,0.7413117707657483,6.659439137441352e-31,170
