gender,ucla_group,window_start,window_end,window_mid,pe_rate,n_trials
Male,High UCLA,1,10,5.5,0.0,160
Male,High UCLA,11,20,15.5,18.75,160
Male,High UCLA,21,30,25.5,13.125,160
Male,High UCLA,31,40,35.5,10.625,160
Male,High UCLA,41,50,45.5,15.625,160
Male,High UCLA,51,60,55.5,15.0,160
Male,High UCLA,61,70,65.5,10.526315789473683,152
Male,High UCLA,71,80,75.5,16.93548387096774,124
Male,Low UCLA,1,10,5.5,0.0,150
Male,Low UCLA,11,20,15.5,14.000000000000002,150
Male,Low UCLA,21,30,25.5,10.666666666666668,150
Male,Low UCLA,31,40,35.5,12.666666666666668,150
Male,Low UCLA,41,50,45.5,10.0,150
Male,Low UCLA,51,60,55.5,13.333333333333334,150
Male,Low UCLA,61,70,65.5,6.756756756756757,148
Male,Low UCLA,71,80,75.5,8.620689655172415,116
Female,High UCLA,1,10,5.5,0.0,260
Female,High UCLA,11,20,15.5,13.076923076923078,260
Female,High UCLA,21,30,25.5,11.538461538461538,260
Female,High UCLA,31,40,35.5,11.538461538461538,260
Female,High UCLA,41,50,45.5,15.0,260
Female,High UCLA,51,60,55.5,9.230769230769232,260
Female,High UCLA,61,70,65.5,11.618257261410788,241
Female,High UCLA,71,80,75.5,7.784431137724551,167
Female,Low UCLA,1,10,5.5,0.0,250
Female,Low UCLA,11,20,15.5,13.600000000000001,250
Female,Low UCLA,21,30,25.5,14.799999999999999,250
Female,Low UCLA,31,40,35.5,18.4,250
Female,Low UCLA,41,50,45.5,12.0,250
Female,Low UCLA,51,60,55.5,14.799999999999999,250
Female,Low UCLA,61,70,65.5,12.903225806451612,248
Female,Low UCLA,71,80,75.5,12.01923076923077,208
