outcome,outcome_label,parameter,coefficient,std_error,t_value,p_value,ci_lower,ci_upper,n_obs,r_squared
wcst_recovery_tau,WCST Recovery Time Constant,C(gender_male)[T.1.0],0.07304286610884335,1.5214225233238434,0.0480095864160516,0.9620377196557826,-3.0386155768014147,3.1847013090191014,37,0.20117574197762644
wcst_recovery_tau,WCST Recovery Time Constant,z_ucla,-0.9840174756212284,0.8925458910508185,-1.1024839008140164,0.27931701561562267,-2.8094787889621085,0.8414438377196515,37,0.20117574197762644
wcst_recovery_tau,WCST Recovery Time Constant,z_ucla:C(gender_male)[T.1.0],-0.1407304863464764,1.6723206651714295,-0.08415281188434642,0.933513182004484,-3.561010281906163,3.27954930921321,37,0.20117574197762644
wcst_recovery_tau,WCST Recovery Time Constant,z_dass_depression,0.8711360635440987,0.8464939335261683,1.029110817032416,0.31193490976482907,-0.8601384211891306,2.602410548277328,37,0.20117574197762644
wcst_recovery_tau,WCST Recovery Time Constant,z_dass_anxiety,1.0561006128911536,1.2552199944929463,0.8413669456546315,0.40702702032059856,-1.5111125272434682,3.6233137530257755,37,0.20117574197762644
wcst_recovery_tau,WCST Recovery Time Constant,z_dass_stress,-2.3642789017513812,1.1983305670472697,-1.9729772124373417,0.058097650964732225,-4.815140098550147,0.08658229504738513,37,0.20117574197762644
wcst_recovery_tau,WCST Recovery Time Constant,z_age,-0.955825324728942,1.7229896902218234,-0.5547481393262927,0.5833206406838821,-4.479734912259659,2.568084262801775,37,0.20117574197762644
wcst_recovery_delta,WCST Initial Slowing Magnitude,C(gender_male)[T.1.0],-110.42178403459528,58.68078952370367,-1.8817365091857057,0.0699437142426834,-230.43747419222422,9.593906123033648,37,0.2727184866097858
wcst_recovery_delta,WCST Initial Slowing Magnitude,z_ucla,-68.1577093220741,34.42521506686756,-1.9798775168051825,0.05727756682816444,-138.56517961362496,2.2497609694767675,37,0.2727184866097858
wcst_recovery_delta,WCST Initial Slowing Magnitude,z_ucla:C(gender_male)[T.1.0],28.269760461506397,64.50088352489611,0.43828485621588126,0.6644274219718154,-103.64935846736003,160.18887939037282,37,0.2727184866097858
wcst_recovery_delta,WCST Initial Slowing Magnitude,z_dass_depression,-3.8511850158586998,32.64900550954176,-0.11795719213356072,0.9069148057638438,-70.62589887012744,62.92352883841004,37,0.2727184866097858
wcst_recovery_delta,WCST Initial Slowing Magnitude,z_dass_anxiety,96.43551107139722,48.41344148229537,1.991916048906859,0.05587105133630491,-2.581094525850304,195.45211666864475,37,0.2727184866097858
wcst_recovery_delta,WCST Initial Slowing Magnitude,z_dass_stress,-23.75309344335502,46.219234109335915,-0.5139222642063878,0.6112003544833531,-118.28204108043974,70.77585419372969,37,0.2727184866097858
wcst_recovery_delta,WCST Initial Slowing Magnitude,z_age,-61.8568200528571,66.45517192852623,-0.9308052068450784,0.3596387550861533,-197.77290755410405,74.05926744838985,37,0.2727184866097858
wcst_initial_slowing,WCST Post-Error Slowing (lag 1),C(gender_male)[T.1.0],80.69283315967952,88.32720360073407,0.9135671669674472,0.36260997965090436,-94.02710599170355,255.4127723110626,140,0.021651018095812158
wcst_initial_slowing,WCST Post-Error Slowing (lag 1),z_ucla,42.82368736164231,64.05601647871136,0.6685349747884262,0.5049595728354896,-83.88544465199055,169.53281937527515,140,0.021651018095812158
wcst_initial_slowing,WCST Post-Error Slowing (lag 1),z_ucla:C(gender_male)[T.1.0],26.937796733456643,85.04800439327336,0.31673637642210467,0.751944013818663,-141.29556226327026,195.17115573018356,140,0.021651018095812158
wcst_initial_slowing,WCST Post-Error Slowing (lag 1),z_dass_depression,21.701346220957937,63.162785991065384,0.34357804014578575,0.7317102831936881,-103.24088759950754,146.6435800414234,140,0.021651018095812158
wcst_initial_slowing,WCST Post-Error Slowing (lag 1),z_dass_anxiety,-31.165787034301268,63.27319826332011,-0.4925590595974074,0.6231424747223406,-156.326427242646,93.99485317404347,140,0.021651018095812158
wcst_initial_slowing,WCST Post-Error Slowing (lag 1),z_dass_stress,0.2694050322096686,64.13762183481818,0.00420042128945008,0.9966548999933628,-126.60115044183141,127.13996050625073,140,0.021651018095812158
wcst_initial_slowing,WCST Post-Error Slowing (lag 1),z_age,-22.024183424828657,41.857549455767696,-0.5261699194335866,0.5996530906815078,-104.82255352829426,60.77418667863696,140,0.021651018095812158
