outcome,term,coef,se,t,p
incongruent_rt_sd,Intercept,311.18356345985694,14.3730480573914,21.650492102809707,3.7430113262645268e-31
incongruent_rt_sd,C(gender_male)[T.1],8.214671815794262,23.540453257566657,0.34895979809368377,0.728264970773026
incongruent_rt_sd,z_ucla_total,22.21382127885359,18.70711787299199,1.187452895185117,0.2394375913198723
incongruent_rt_sd,z_ucla_total:C(gender_male)[T.1],28.46845924608119,24.57185779080052,1.158579847256788,0.25093241809171296
incongruent_rt_sd,z_age,26.806581181641995,11.675690300338054,2.2959311605640864,0.024965336924545296
incongruent_rt_sd,z_dass_depression,-37.333900191699456,18.15194553256545,-2.05674373166891,0.043792134254344514
incongruent_rt_sd,z_dass_anxiety,-6.820126605580878,17.136218412072974,-0.3979948458626027,0.6919585059807802
incongruent_rt_sd,z_dass_stress,-3.345596260092794,17.339838859008808,-0.1929427538108066,0.8476147864110695
congruent_rt_sd,Intercept,235.5392532484322,11.533280801698721,20.422571625390404,9.860809477695897e-30
congruent_rt_sd,C(gender_male)[T.1],-1.1822195009736554,18.88942808336053,-0.06258630466504479,0.9502909911363808
congruent_rt_sd,z_ucla_total,5.71418492516952,15.01104306881802,0.38066541405369897,0.7047121371934137
congruent_rt_sd,z_ucla_total:C(gender_male)[T.1],29.823486300399637,19.717051984319653,1.5125732956487263,0.1353107493734935
congruent_rt_sd,z_age,3.033277304912385,9.368855809135063,0.3237617662932544,0.7471740527397228
congruent_rt_sd,z_dass_depression,-7.3493750061178655,14.565559378099906,-0.5045721084470015,0.6155923032808603
congruent_rt_sd,z_dass_anxiety,-31.381581338103743,13.750515411659102,-2.2822112770765823,0.02581038811243389
congruent_rt_sd,z_dass_stress,1.3171455767560971,13.913905374741475,0.09466397400884798,0.9248774962623462
variability_ratio_sd,Intercept,1.380013864294212,0.06039800116859494,22.84866779683722,1.7580673630010457e-32
variability_ratio_sd,C(gender_male)[T.1],0.06309050944660896,0.09892100253770465,0.637786797829525,0.5258878492256887
variability_ratio_sd,z_ucla_total,0.04277576402514943,0.07861050228472392,0.5441482089787115,0.5882303058709797
variability_ratio_sd,z_ucla_total:C(gender_male)[T.1],-0.06123323379629489,0.10325514042932032,-0.5930284297875702,0.5552520027019228
variability_ratio_sd,z_age,0.10474925058564308,0.049063243481004326,2.1349842194228055,0.03659654605820228
variability_ratio_sd,z_dass_depression,-0.08930433205535634,0.0762775733519072,-1.1707809796642334,0.24602771567702159
variability_ratio_sd,z_dass_anxiety,0.17550755561907566,0.07200931462449484,2.4372896275195854,0.01758759242503157
variability_ratio_sd,z_dass_stress,-0.023748521311746713,0.072864962497018,-0.3259251154176964,0.7455443167721199
