participantId,trialIndex,blockIndex,chosenCard,trialIndexInBlock,reactionTimeMs,cardShape,timestamp,cardNumber,correct,cardColor,targetCardPath,stageName,ruleAtThatTime,participant_id,stim_onset_ms,task,block_index,cond,extra,timeout,isNPE,isPE,resp_time_ms,rt_ms,isPR,trial_index
7QYZfcjgZHcVB941oHiLGGPTk7U2,0,0.0,four_red_triangle,0,10369.199999928474,star,2025-06-23T15:28:12.150,4,False,black,assets/images/4blackstar.svg,Stage.blockTrials,colour,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,1,0.0,three_blue_star,1,3983.600000023842,star,2025-06-23T15:28:17.134,1,False,black,assets/images/1blackstar.svg,Stage.blockTrials,colour,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,2,0.0,one_yellow_circle,2,6907.299999952316,rectangle,2025-06-23T15:28:25.047,3,True,yellow,assets/images/3yellowrectangle.svg,Stage.blockTrials,colour,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,3,0.0,one_yellow_circle,3,1249.0999999046326,rectangle,2025-06-23T15:28:27.304,2,True,yellow,assets/images/2yellowrectangle.svg,Stage.blockTrials,colour,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,4,0.0,four_red_triangle,4,1471.7999999523163,triangle,2025-06-23T15:28:29.791,3,True,red,assets/images/3redtriangle.svg,Stage.blockTrials,colour,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,5,0.0,two_black_rectangle,5,2961.0,triangle,2025-06-23T15:28:33.760,1,True,black,assets/images/1blacktriangle.svg,Stage.blockTrials,colour,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,6,0.0,three_blue_star,6,2233.7999999523163,circle,2025-06-23T15:28:37.008,2,True,blue,assets/images/2bluecircle.svg,Stage.blockTrials,colour,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,7,0.0,one_yellow_circle,7,1241.3999999761581,star,2025-06-23T15:28:39.257,4,True,yellow,assets/images/4yellowstar.svg,Stage.blockTrials,colour,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,8,0.0,three_blue_star,8,1699.1999999284744,circle,2025-06-23T15:28:41.961,4,True,blue,assets/images/4bluecircle.svg,Stage.blockTrials,colour,,,,,,,,,,,,,
7QYZfcjgZHcVB941oHiLGGPTk7U2,9,0.0,four_red_triangle,9,1785.5,rectangle,2025-06-23T15:28:44.755,1,True,red,assets/images/1redrectangle.svg,Stage.blockTrials,colour,,,,,,,,,,,,,
