a,b,c_prime,c,indirect,indirect_ci_lower,indirect_ci_upper,indirect_significant,proportion_mediated,gender,mediator,outcome,n
0.4031910740596156,-0.12576106765384834,-0.048260877398286585,-0.09896661734052563,-0.05070573994223909,-0.15922602683595272,0.02541388359420751,False,0.512351955687948,Female,dass_depression,pe_rate,45
0.4031910740596156,0.2605358675874099,0.07225634956307428,0.1773020858466954,0.10504573628362157,-0.03595680023885402,0.2667387126554529,False,0.5924675718392257,Female,dass_depression,wcst_accuracy,45
0.245658552557015,0.02979119723321517,-0.10628507973177877,-0.09896661734052563,0.007318462391252189,-0.058556803115409804,0.09331326868019726,False,-0.07394879796760889,Female,dass_anxiety,pe_rate,45
0.245658552557015,0.14998694302088197,0.14045651052172886,0.1773020858466954,0.03684557532496135,-0.08376778010929332,0.16998034969460996,False,0.20781241883877186,Female,dass_anxiety,wcst_accuracy,45
0.28532660025941653,-0.06567367993921261,-0.08022816951694507,-0.09896661734052563,-0.018738447823580577,-0.10867653188009085,0.04972509025495504,False,0.1893410962921475,Female,dass_stress,pe_rate,45
0.28532660025941653,-0.015947220841379766,0.18185225215295264,0.1773020858466954,-0.004550166306257,-0.08968778989293004,0.15589100079426588,False,-0.025663354633014925,Female,dass_stress,wcst_accuracy,45
0.5556895858464013,-0.152420963407786,0.1612871716321969,0.07658842960181479,-0.08469874203038208,-0.33208615072219094,0.06455578911862853,False,-1.1058947476888221,Male,dass_depression,pe_rate,27
0.5556895858464013,0.6292480083153524,-0.44506149637172565,-0.09539493123629499,0.34966656513543104,-0.15227844481581046,0.9554526839080483,False,-3.66546273060673,Male,dass_depression,wcst_accuracy,27
0.3514274225975068,-0.20787573920874014,0.14964166485249378,0.07658842960181479,-0.07305323525067904,-0.20088224768510385,0.01885973536449504,False,-0.9538416655163799,Male,dass_anxiety,pe_rate,27
0.3514274225975068,0.5792764637895353,-0.29896856587725,-0.09539493123629499,0.20357363464095438,-0.0408014865872041,0.569163105190941,False,-2.1340089248211602,Male,dass_anxiety,wcst_accuracy,27
0.4746395542535469,-0.2761174720336049,0.20764470344946126,0.07658842960181479,-0.13105627384764645,-0.3314683278163194,0.034675334189154014,False,-1.7111758855614534,Male,dass_stress,pe_rate,27
0.4746395542535469,0.809474246936038,-0.47960342698174313,-0.09539493123629499,0.38420849574544663,-0.1136147639337759,0.9702471872602839,False,-4.02755671361359,Male,dass_stress,wcst_accuracy,27
