term,coef,se,z,p,ci_lower,ci_upper
Intercept,145.87758475465006,18.052410324654154,8.080781576043904,6.435298414965501e-16,110.4955106841889,181.25965882511122
C(quartile)[T.Q2],-8.247559524766375,24.150411984745094,-0.34150802603185604,0.7327211637661716,-55.581497226671246,39.0863781771385
C(quartile)[T.Q3],-11.941547121470162,24.15041198474509,-0.4944655655983504,0.6209774192799997,-59.275484823375024,35.39239058043471
C(quartile)[T.Q4],19.097288372340312,24.15041198474509,0.7907644964567624,0.42908143145777,-28.236649329564553,66.43122607424517
z_ucla_total,-32.253564350285274,21.94056050667198,-1.4700428615065317,0.1415501459048088,-75.25627274398423,10.749144043413686
z_ucla_total:C(quartile)[T.Q2],70.75131085526594,24.192449287202567,2.924520374739084,0.0034498749453087743,23.334981554537208,118.16764015599468
z_ucla_total:C(quartile)[T.Q3],82.64731322520507,24.192449287202567,3.416244144776371,0.0006349129576267025,35.230983924476334,130.0636425259338
z_ucla_total:C(quartile)[T.Q4],61.87943862963256,24.192449287202567,2.557799662821483,0.01053367574363385,14.463109328903826,109.2957679303613
z_age,33.163012334462884,10.573242879866536,3.136503408770791,0.001709754492758477,12.439837090129913,53.886187578795855
z_dass_depression,-33.912775625987734,16.302115568791702,-2.080268384976326,0.037500922892217695,-65.86433501262917,-1.9612162393462995
z_dass_anxiety,28.688038919655842,15.559576050685953,1.8437545358693184,0.06521892120691646,-1.8081697544005984,59.184247593712286
z_dass_stress,-15.464596182018218,15.60307725359975,-0.9911247589606349,0.32162466463202233,-46.04606564706987,15.116873283033433
Group Var,0.11750969775188193,0.07072746419071012,1.6614436710897453,0.0966243730956752,-0.021113584779756264,0.2561329802835201
