node1,node2,pcor_male,pcor_female,difference,abs_difference
dass_stress,prp_bottleneck,0.3340605896931536,-0.224184249283757,0.5582448389769106,0.5582448389769106
pe_rate,wcst_accuracy,-0.8121905128308556,-0.5212653505797386,-0.2909251622511171,0.2909251622511171
dass_anxiety,prp_bottleneck,-0.14661681528623152,0.13421686308383876,-0.2808336783700703,0.2808336783700703
dass_depression,pe_rate,0.12534967945729977,-0.12849066072350365,0.2538403401808034,0.2538403401808034
ucla_score,dass_anxiety,-0.09775687656924624,0.13844440144387957,-0.2362012780131258,0.2362012780131258
prp_bottleneck,wcst_accuracy,0.1258046407047385,-0.10648222109020758,0.2322868617949461,0.2322868617949461
ucla_score,dass_stress,0.22910753745913567,0.017716811201645827,0.21139072625748984,0.21139072625748984
dass_depression,stroop_interference,-0.2457105028592721,-0.04161321111032683,-0.20409729174894525,0.20409729174894525
dass_depression,wcst_accuracy,0.14075220218760842,-0.036357034246466476,0.1771092364340749,0.1771092364340749
stroop_interference,wcst_accuracy,0.06426183583562706,-0.09812638900221193,0.162388224837839,0.162388224837839
dass_anxiety,wcst_accuracy,0.037984180457245116,0.2002086173555235,-0.1622244368982784,0.1622244368982784
ucla_score,stroop_interference,0.17825168005111533,0.016580963696968716,0.16167071635414662,0.16167071635414662
ucla_score,wcst_accuracy,-0.11976843003767855,0.033906864319363926,-0.15367529435704247,0.15367529435704247
prp_bottleneck,stroop_interference,0.19362413401584888,0.04908015895542548,0.1445439750604234,0.1445439750604234
pe_rate,prp_bottleneck,0.15208487458926498,0.01951922011529434,0.13256565447397065,0.13256565447397065
pe_rate,stroop_interference,0.12266038433493623,0.018644176342025,0.10401620799291122,0.10401620799291122
dass_stress,pe_rate,-0.08241729220891492,0.011149433931372594,-0.0935667261402875,0.0935667261402875
dass_depression,dass_anxiety,0.19454955099251564,0.11544405388247582,0.07910549711003982,0.07910549711003982
ucla_score,dass_depression,0.5591262503767315,0.49808492643234464,0.06104132394438683,0.06104132394438683
ucla_score,pe_rate,-0.06406205443754708,-0.007185663267936358,-0.05687639116961072,0.05687639116961072
dass_stress,stroop_interference,-0.02395543407321974,-0.0802584853760175,0.05630305130279776,0.05630305130279776
dass_depression,prp_bottleneck,-0.10721040113061742,-0.05442619475499749,-0.052784206375619924,0.052784206375619924
dass_anxiety,pe_rate,0.02086688604993807,0.07038677110506046,-0.04951988505512239,0.04951988505512239
dass_stress,wcst_accuracy,-0.03557921180628819,-0.059041048713557476,0.023461836907269287,0.023461836907269287
dass_depression,dass_stress,0.23451220464220435,0.25689052291212183,-0.022378318269917485,0.022378318269917485
dass_anxiety,dass_stress,0.590826345230993,0.5721723255710234,0.0186540196599696,0.0186540196599696
ucla_score,prp_bottleneck,0.044829050277577595,0.05625610791332353,-0.011427057635745932,0.011427057635745932
dass_anxiety,stroop_interference,0.10550932583751879,0.10420334884981196,0.0013059769877068333,0.0013059769877068333
