node,strength,betweenness,closeness,expected_influence
PRP_RMSSD,0.9070236584414142,0.08888888888888889,0,0.9070236584414142
PRP_RT,0.8849943024358277,0.0,0,0.8849943024358277
DASS_Str,0.8819542153102633,0.35555555555555557,0,0.7735866123944808
DASS_Anx,0.8727261658034289,0.2888888888888889,0,0.8727261658034289
UCLA,0.8504573448149219,0.0,0,0.8504573448149219
PRP_tau,0.8416584826279463,0.37777777777777777,0,0.722374810094248
DASS_Dep,0.7946378764848356,0.2,0,0.7946378764848356
Stroop_Int,0.7513204078344182,0.0,0,0.7513204078344182
WCST_tau,0.6267290800601699,0.17777777777777778,0,0.6267290800601699
Stroop_tau,0.5299028078697237,0.24444444444444446,0,0.4106191353360253
WCST_PE,0.05418380145789122,0.0,0,-0.05418380145789122
