outcome,outcome_label,parameter,coefficient,std_error,t_value,p_value,ci_lower,ci_upper,n_obs,r_squared,r_squared_adj
prp_lapse_prob,PRP Lapse Probability,C(gender_male)[T.1.0],-0.050505791833719886,0.025813499423005867,-1.956565090462218,0.052333363098545777,-0.10152811115475446,0.0005165274873146844,152,0.06890370026380221,0.023642074582181483
prp_lapse_prob,PRP Lapse Probability,z_ucla,-0.0019516505482648806,0.019063535225601773,-0.10237610837489737,0.9186005714675329,-0.03963215894154269,0.035728857845012923,152,0.06890370026380221,0.023642074582181483
prp_lapse_prob,PRP Lapse Probability,z_ucla:C(gender_male)[T.1.0],0.011588424101192402,0.025237512988237967,0.4591745671054524,0.6468011948570875,-0.03829541479463022,0.061472262997015026,152,0.06890370026380221,0.023642074582181483
prp_lapse_prob,PRP Lapse Probability,z_dass_depression,-0.010562285653135231,0.01888570138073496,-0.5592742064591613,0.5768433952264113,-0.04789129210279065,0.02676672079652019,152,0.06890370026380221,0.023642074582181483
prp_lapse_prob,PRP Lapse Probability,z_dass_anxiety,0.006570652820642189,0.018468714770817952,0.35577206655572735,0.7225319172312307,-0.029934148293071082,0.04307545393435546,152,0.06890370026380221,0.023642074582181483
prp_lapse_prob,PRP Lapse Probability,z_dass_stress,0.02687143890650002,0.018689528822238864,1.437780436418783,0.15266594031787353,-0.010069817755434196,0.06381269556843423,152,0.06890370026380221,0.023642074582181483
prp_lapse_prob,PRP Lapse Probability,z_age,0.011462740816051132,0.012580172629809663,0.9111751605768356,0.36372586894396197,-0.013402914727723453,0.03632839635982572,152,0.06890370026380221,0.023642074582181483
prp_state_separation,PRP State Separation,C(gender_male)[T.1.0],-75.54876328227179,25.424194212214278,-2.97153029321876,0.0034736984581545207,-125.80159163066247,-25.295934933881107,152,0.07484887051978306,0.029876246170050247
prp_state_separation,PRP State Separation,z_ucla,6.831765573548893,18.77602931724665,0.36385571507782005,0.7164994250372617,-30.280465809998674,43.94399695709646,152,0.07484887051978306,0.029876246170050247
prp_state_separation,PRP State Separation,z_ucla:C(gender_male)[T.1.0],14.78812941740586,24.856894492747,0.594930691029038,0.5528235112606723,-34.34338845063995,63.919647285451674,152,0.07484887051978306,0.029876246170050247
prp_state_separation,PRP State Separation,z_dass_depression,-17.293531962904737,18.600877466065665,-0.9297159230500834,0.35407410786562976,-54.05956256467601,19.472498638866533,152,0.07484887051978306,0.029876246170050247
prp_state_separation,PRP State Separation,z_dass_anxiety,-16.39816009613277,18.19017962224778,-0.9014842314188447,0.3688362213431823,-52.352415580228175,19.556095387962635,152,0.07484887051978306,0.029876246170050247
prp_state_separation,PRP State Separation,z_dass_stress,10.130184363232674,18.407663475797204,0.5503242916490765,0.5829496266249168,-26.253944283006653,46.514313009472,152,0.07484887051978306,0.029876246170050247
prp_state_separation,PRP State Separation,z_age,3.2216985899803348,12.390445282998337,0.26001475462718177,0.7952237964053832,-21.26894661078308,27.71234379074375,152,0.07484887051978306,0.029876246170050247
prp_engaged_mean,PRP Engaged Mean RT,C(gender_male)[T.1.0],-70.40514319355869,29.505733614515744,-2.3861512515968055,0.0183256989422183,-128.72544055469433,-12.084845832423028,152,0.06176066965377924,0.016151813317504593
prp_engaged_mean,PRP Engaged Mean RT,z_ucla,-0.3900019901733742,21.79028820928629,-0.017897973006486826,0.9857450208797911,-43.4601423416483,42.68013836130155,152,0.06176066965377924,0.016151813317504593
prp_engaged_mean,PRP Engaged Mean RT,z_ucla:C(gender_male)[T.1.0],3.6828485539085705,28.847360953322436,0.12766674081097895,0.898590823524712,-53.3361258210958,60.70182292891294,152,0.06176066965377924,0.016151813317504593
