outcome,outcome_label,predictor,predictor_label,unique_r2,unique_r2_pct,n
pe_rate,WCST PE Rate,z_ucla,UCLA,0.0008075088557046861,0.08075088557046861,170
pe_rate,WCST PE Rate,z_dass_dep,Depression,0.00853349731261488,0.8533497312614879,170
pe_rate,WCST PE Rate,z_dass_anx,Anxiety,0.00023990442191657024,0.023990442191657024,170
pe_rate,WCST PE Rate,z_dass_str,Stress,0.0005425449463302146,0.054254494633021455,170
wcst_accuracy,WCST Accuracy,z_ucla,UCLA,0.0037658635775499327,0.3765863577549933,170
wcst_accuracy,WCST Accuracy,z_dass_dep,Depression,7.742304199853667e-05,0.007742304199853667,170
wcst_accuracy,WCST Accuracy,z_dass_anx,Anxiety,5.1680816282040354e-05,0.005168081628204035,170
wcst_accuracy,WCST Accuracy,z_dass_str,Stress,0.00031724611035588435,0.031724611035588435,170
stroop_interference,Stroop Interference,z_ucla,UCLA,0.003828716204429594,0.3828716204429594,170
stroop_interference,Stroop Interference,z_dass_dep,Depression,0.014268474441750278,1.4268474441750278,170
stroop_interference,Stroop Interference,z_dass_anx,Anxiety,0.0028796324465348855,0.28796324465348855,170
stroop_interference,Stroop Interference,z_dass_str,Stress,0.00021840791561344997,0.021840791561344997,170
prp_bottleneck,PRP Bottleneck,z_ucla,UCLA,0.007860994164868629,0.7860994164868629,166
prp_bottleneck,PRP Bottleneck,z_dass_dep,Depression,0.00872988375424788,0.872988375424788,166
prp_bottleneck,PRP Bottleneck,z_dass_anx,Anxiety,0.0009285025405191272,0.09285025405191272,166
prp_bottleneck,PRP Bottleneck,z_dass_str,Stress,6.78614253840637e-05,0.00678614253840637,166
