﻿task,group,label,outcome,outcome_column,n,beta,se,ci_low,ci_high,p,delta_r2,outcome_sd,ucla_beta,ucla_se
STROOP,Conventional,Stroop Acc Interference,Stroop Accuracy Interference,stroop_acc_interference,220,-0.08745827174776173,0.09406700505369221,-0.27182960165299846,0.09691305815747499,0.3535559243495954,0.0040181300288386,0.035220867159539246,-0.0030803561712308,0.0033131214890918
WCST,Conventional,WCST Trials to 1st,WCST Trials to First Category,wcst_trials_to_first_category,212,-0.08659568084134586,0.09424835790420354,-0.2713224623335848,0.09813110065089306,0.3592783818541796,0.0039781302737942,18.83845287241309,-1.631328652484219,1.77549324868066
WCST,Conventional,WCST FMS,WCST Failure to Maintain Set,wcst_failure_to_maintain_set,212,-0.08200129911016313,0.09544827641520329,-0.2690799208839616,0.10507732266363531,0.3912790775157423,0.0035672044768199,0.8678562445680762,-0.0711653394954497,0.082835382720194
STROOP,Conventional,Stroop RT Interference,Stroop RT Interference,stroop_rt_interference,220,0.061462884230078264,0.09372866788000063,-0.12224530481472298,0.2451710732748795,0.5126905385985956,0.0019844861719615,99.91584568514774,6.1411160560966005,9.364979116172607
WCST,Conventional,WCST NPE,WCST Non-Perseverative Errors,wcst_nonperseverative_errors,212,-0.0511234722570797,0.0945777526233915,-0.23649586739892703,0.13424892288476764,0.5894084712433506,0.0013865234683606,11.491315064743274,-0.5874759269097648,1.0868227535107415
WCST,Conventional,WCST PE Rate,WCST Perseverative Error Rate,pe_rate,212,-0.027037842543981023,0.09447734726536718,-0.21221344318410068,0.15813775809613861,0.7750266999370699,0.0003878203625329,6.099151005418849,-0.1649078845364784,0.57623160756287
WCST,Conventional,WCST Categories,WCST Categories Completed,wcst_categories_completed,212,-0.0032067529989775276,0.09408614600018333,-0.18761559915933684,0.1812020931613818,0.972844001295395,5.455286427369366e-06,0.8293550154017452,-0.0026595366828566,0.0780308170650729
WCST,Temporal,WCST RT Slope,WCST RT Slope within Category,wcst_rt_slope_within_category,212,-0.267641788434934,0.0937822701040745,-0.45145503783892005,-0.083828539030948,0.0047624258520214,0.0380009440067526,47.01618142078463,-12.583494880840115,4.409284225266194
WCST,Temporal,WCST PES,WCST Post-Error Slowing (ms),wcst_pes,211,0.22167924083738802,0.0944277424819359,0.036600865572793656,0.40675761610198236,0.0198522015670885,0.0261760929119412,748.3199905305813,165.88700740426066,70.66216735990645
STROOP,Temporal,Stroop RT Slope,Stroop Incongruent RT Slope,stroop_incong_slope,220,0.20647883064522654,0.09247961795896407,0.025218779445656953,0.3877388818447961,0.0266096619051544,0.022396144893239,2.1452908049374404,0.4429571367974395,0.198395674051493
WCST,Temporal,WCST Detrended SD,WCST Volatility (Detrended SD),wcst_volatility_adj,212,0.20155615691111975,0.09453746074546644,0.01626273385000554,0.38684957997223396,0.0341948802060175,0.0215515582656807,352.6211494154721,71.0729637217643,33.33590807088645
STROOP,Temporal,Stroop CV Slope,Stroop CV Fatigue Slope (Q4-Q1),stroop_cv_fatigue_slope,220,0.1861489250740683,0.09296965726279743,0.003928396838985326,0.3683694533091513,0.0465255508560969,0.0182030126102821,0.08621046526525328,0.0160479854392622,0.0080149574081769
WCST,Temporal,WCST CV Slope,WCST CV Fatigue Slope (Q4-Q1),wcst_cv_fatigue_slope,212,-0.16688223973573274,0.09314090427488109,-0.34943841211449966,0.015673932643034183,0.0746530564778495,0.0147742954109041,0.23688951686420343,-0.0395326531442139,0.0220641038139716
STROOP,Temporal,Stroop RT SD,Stroop RT SD (Incongruent),stroop_rt_sd_incong,220,0.1228791383993775,0.09363459686722407,-0.06064467146038166,0.30640294825913666,0.1908224848555486,0.0079319235477222,94.34058691361504,11.592490036036605,8.833542823873659
