outcome,term,coef,se,t,p
incongruent_rt_sd,Intercept,311.117123972543,14.135268207026146,22.00999085520695,1.2004996312458135e-32
incongruent_rt_sd,C(gender_male)[T.1],7.619869520689683,22.64396525410331,0.3365077377209315,0.7375242989716879
incongruent_rt_sd,z_ucla_total,19.961561514026982,18.02845787085118,1.107225124690298,0.27209797263682256
incongruent_rt_sd,z_ucla_total:C(gender_male)[T.1],22.959498536116115,23.537508587734038,0.9754430232297764,0.33279794786820227
incongruent_rt_sd,z_age,24.957228678747093,11.27525908924715,2.213450571840783,0.030224914112552882
incongruent_rt_sd,z_dass_depression,-33.70226056660326,17.42232186053917,-1.9344299133250125,0.05722217191051071
incongruent_rt_sd,z_dass_anxiety,-6.488754957833159,16.407289775173805,-0.395479999850519,0.6937266820398684
incongruent_rt_sd,z_dass_stress,-4.781817620861302,16.655426767070473,-0.2871026775678578,0.7749067612863274
congruent_rt_sd,Intercept,235.26403694460205,11.198811165753753,21.007947492145007,1.9119308651172527e-31
congruent_rt_sd,C(gender_male)[T.1],-3.7562130951442967,17.939913640870554,-0.20937743460408442,0.8347796094097435
congruent_rt_sd,z_ucla_total,7.292244947927361,14.28323059374659,0.5105459090690599,0.611322511723406
congruent_rt_sd,z_ucla_total:C(gender_male)[T.1],32.74115768996977,18.6478325084287,1.755762106677598,0.08363215388911409
congruent_rt_sd,z_age,2.3279087309361266,8.932939618553776,0.26059828346998387,0.7951898605781997
congruent_rt_sd,z_dass_depression,-9.042819108877545,13.803013124871574,-0.6551337035667479,0.5145918611008814
congruent_rt_sd,z_dass_anxiety,-29.101187563478774,12.99884354812893,-2.238752044036074,0.028448350605738953
congruent_rt_sd,z_dass_stress,-1.5814357511207007,13.195432624104699,-0.11984720745205578,0.9049575735985659
variability_ratio_sd,Intercept,1.381018283612864,0.06233503744176864,22.154767852717924,8.111509130491367e-33
variability_ratio_sd,C(gender_male)[T.1],0.08494744615780997,0.09985749129563914,0.8506867642640217,0.39792897246704484
variability_ratio_sd,z_ucla_total,0.021219664932456188,0.07950359200388239,0.26690196502593205,0.7903524040842604
variability_ratio_sd,z_ucla_total:C(gender_male)[T.1],-0.11415330386465067,0.10379792287019024,-1.0997648190649332,0.27531285724937754
variability_ratio_sd,z_age,0.1021131451158155,0.049722699788922596,2.0536524675710517,0.04385740062082078
variability_ratio_sd,z_dass_depression,-0.0612772408472369,0.0768305963207285,-0.7975629993998188,0.4279004468890525
variability_ratio_sd,z_dass_anxiety,0.16316473773618034,0.07235441220316105,2.2550765429209294,0.027351510666672615
variability_ratio_sd,z_dass_stress,-0.011565127323430686,0.07344867008734313,-0.1574586348490416,0.8753500250551798
