Outcome,Effect Type,Metric,Effect Size,95% CI,p-value,Sig.,N,DASS Controlled,Interpretation
PRP,Regression,β,,,,,154,True,
PRP,Regression,β,,,,,154,True,
PRP,Regression,β,,,,,97,True,
PRP,Regression,β,,,,,57,True,
PRP,Regression,β,,,,,154,True,
PRP,Regression,β,,,,,154,True,
PRP,Regression,β,,,,,97,True,
PRP,Regression,β,,,,,57,True,
PRP,Regression,β,,,,,154,True,
PRP,Regression,β,,,,,154,True,
PRP,Regression,β,,,,,97,True,
PRP,Regression,β,,,,,57,True,
PRP,Regression,β,,,,,154,True,
PRP,Regression,β,,,,,154,True,
PRP,Regression,β,,,,,97,True,
PRP,Regression,β,,,,,57,True,
PRP,Regression,β,,,,,154,True,
PRP,Regression,β,,,,,154,True,
PRP,Regression,β,,,,,97,True,
PRP,Regression,β,,,,,57,True,
PRP,Regression,β,,,,,154,True,
PRP,Regression,β,,,,,154,True,
PRP,Regression,β,,,,,97,True,
PRP,Regression,β,,,,,57,True,
PRP,Regression,β,,,,,62,True,
PRP,Regression,β,,,,,62,True,
PRP,Regression,β,,,,,40,True,
PRP,Regression,β,,,,,22,True,
PRP,Regression,β,,,,,62,True,
PRP,Regression,β,,,,,62,True,
PRP,Regression,β,,,,,40,True,
PRP,Regression,β,,,,,22,True,
PRP,Regression,β,,,,,62,True,
PRP,Regression,β,,,,,62,True,
PRP,Regression,β,,,,,40,True,
PRP,Regression,β,,,,,22,True,
PRP,Regression,β,,,,,62,True,
PRP,Regression,β,,,,,62,True,
PRP,Regression,β,,,,,40,True,
PRP,Regression,β,,,,,22,True,
PRP,Regression,β,,,,,154,True,
PRP,Regression,β,,,,,154,True,
PRP,Regression,β,,,,,97,True,
PRP,Regression,β,,,,,57,True,
PRP Bottleneck,Female Correlation,r,-0.079,"[-0.27, 0.12]",= 0.444,,97,False,negligible
PRP Bottleneck,Female Simple Slope,β (standardized),4.452,"[-38.43, 47.33]",= 0.837,,97,True,large
PRP Bottleneck,Interaction,β (standardized),38.140,"[-12.36, 88.64]",= 0.138,,154,True,large
PRP Bottleneck,Interaction ΔR²,ΔR²,0.014,,= 0.138,,154,True,negligible
PRP Bottleneck,Interaction β,β (unstandardized),38.140,,= 0.100,,154,True,large
PRP Bottleneck,Male Correlation,r,0.186,"[-0.08, 0.43]",= 0.166,,57,False,negligible
PRP Bottleneck,Male Simple Slope,β (standardized),21.391,"[-27.65, 70.43]",= 0.385,,57,True,large
PRP Bottleneck (ms),Cohen's d (Female),Cohen's d,-0.073,"[-0.42, 0.41]",= 0.722,,95,False,negligible
PRP Bottleneck (ms),Cohen's d (High vs Low UCLA),Cohen's d,0.216,"[-0.31, 0.32]",= 0.179,,156,False,small
PRP Bottleneck (ms),Cohen's d (Male),Cohen's d,0.152,"[-0.55, 0.51]",= 0.565,,58,False,negligible
PRP Bottleneck (ms),Correlation r,r,0.051,"[-0.09, 0.21]",= 0.525,,156,False,negligible
PRP Bottleneck (ms),Female UCLA β,β (unstandardized),4.452,"[-38.43, 47.33]",= 0.837,,97,True,large
PRP Bottleneck (ms),Male UCLA β,β (unstandardized),21.391,"[-27.65, 70.43]",= 0.385,,57,True,large
Stroop Interference,Female Correlation,r,-0.027,"[-0.22, 0.17]",= 0.787,,100,False,negligible
Stroop Interference,Female Simple Slope,β (standardized),2.275,"[-26.90, 31.45]",= 0.877,,100,True,large
Stroop Interference,Interaction,β (standardized),9.790,"[-25.09, 44.67]",= 0.580,,158,True,large
Stroop Interference,Interaction ΔR²,ΔR²,0.002,,= 0.580,,158,True,negligible
Stroop Interference,Interaction β,β (unstandardized),9.790,,= 0.564,,158,True,large
Stroop Interference,Male Correlation,r,0.045,"[-0.22, 0.30]",= 0.738,,58,False,negligible
Stroop Interference,Male Simple Slope,β (standardized),33.130,"[-5.60, 71.86]",= 0.092,,58,True,large
