ate,se,ci_lower,ci_upper,p,n,r2,outcome,gender,adjustment
-0.5641786555689974,0.5673938989474502,-1.6970171257380997,0.568659814600105,0.3236922204678685,68,0.014759187099460336,WCST PE Rate,male,None
-0.07563184075350948,0.8194664844541157,-1.7137220023407629,1.562458320833744,0.9267620295942016,68,0.035659150600810485,WCST PE Rate,male,Age + DASS
29.76814881935803,16.251434010768406,-2.6882061092786493,62.2245037479947,0.07157503274510386,67,0.04908498119855942,PRP Bottleneck,male,None
28.018281470992008,20.95878634354004,-13.891402014420507,69.92796495640452,0.18624346358817195,67,0.2575262412086251,PRP Bottleneck,male,Age + DASS
0.754845490066625,0.9871969263703627,-1.2161567676235259,2.725847747756776,0.44721417987761225,68,0.008780804511457574,WCST Accuracy,male,None
-0.42016136794772585,1.4206034902089462,-3.2599072818736152,2.4195845459781635,0.7683997247200536,68,0.03682994766208725,WCST Accuracy,male,Age + DASS
-0.9012982558435813,0.5889544984638648,-2.069217127653056,0.2666206159658938,0.12896971303997565,106,0.022022622986676232,WCST PE Rate,female,None
-0.23360500753481547,0.7883224408128024,-1.7976142774621124,1.3304042623924814,0.7675912526232008,106,0.0431218550190392,WCST PE Rate,female,Age + DASS
-2.3963511226131695,15.009689570690156,-32.17514773163295,27.382445486406606,0.8734759752991262,102,0.0002548277976071045,PRP Bottleneck,female,None
13.245301190933409,19.671223930125283,-25.801769698978816,52.29237208084564,0.5023527301053616,102,0.06632053299039553,PRP Bottleneck,female,Age + DASS
1.7208485269815919,1.079576403177431,-0.41999199316000935,3.861689047123193,0.11396997601047683,106,0.023848571845191513,WCST Accuracy,female,None
0.3499512902832029,1.441243337301269,-2.509434442077813,3.2093370226442186,0.8086483173490439,106,0.04990160017705936,WCST Accuracy,female,Age + DASS
