node_i,node_j,n_present,mean_weight,mean_abs_weight,sign_consistency,presence_rate,n_bootstrap,node_i_label,node_j_label
pe_rate,prp_bottleneck,494,0.15244760022510892,0.15244760022510892,1.0,0.988,500,WCST PE Rate,PRP Bottleneck (ms)
pe_rate,stroop_interference,417,0.07146398254698444,0.08088143598357446,0.7697841726618705,0.834,500,WCST PE Rate,Stroop Interference
stroop_interference,prp_bottleneck,461,0.1148559668349643,0.11707553541359987,0.9479392624728851,0.922,500,Stroop Interference,PRP Bottleneck (ms)
z_dass_anx,pe_rate,314,-0.011418116468712214,0.04569813957943173,0.21019108280254778,0.628,500,DASS Anxiety,WCST PE Rate
z_dass_anx,prp_bottleneck,311,0.01735912698847615,0.04404572925346217,0.31189710610932475,0.622,500,DASS Anxiety,PRP Bottleneck (ms)
z_dass_anx,stroop_interference,278,-0.0057686428540649716,0.03923456742891935,0.1223021582733813,0.556,500,DASS Anxiety,Stroop Interference
z_dass_anx,z_dass_str,500,0.4135862224629855,0.4135862224629855,1.0,1.0,500,DASS Anxiety,DASS Stress
z_dass_dep,pe_rate,384,-0.06203678320087527,0.06374157248411952,0.90625,0.768,500,DASS Depression,WCST PE Rate
z_dass_dep,prp_bottleneck,268,0.000704895199721277,0.042890650875288046,0.022388059701492536,0.536,500,DASS Depression,PRP Bottleneck (ms)
z_dass_dep,stroop_interference,362,-0.06767603833506897,0.07090927006644497,0.9005524861878453,0.724,500,DASS Depression,Stroop Interference
z_dass_dep,z_dass_anx,500,0.291416648482826,0.291416648482826,1.0,1.0,500,DASS Depression,DASS Anxiety
z_dass_dep,z_dass_str,500,0.31076496016486577,0.31076496016486577,1.0,1.0,500,DASS Depression,DASS Stress
z_dass_str,pe_rate,305,0.019732134144512758,0.04854030151858935,0.3639344262295082,0.61,500,DASS Stress,WCST PE Rate
z_dass_str,prp_bottleneck,299,-0.0008119597334404038,0.044673937306278846,0.010033444816053512,0.598,500,DASS Stress,PRP Bottleneck (ms)
z_dass_str,stroop_interference,303,0.018259054772472933,0.045141387345137625,0.24752475247524752,0.606,500,DASS Stress,Stroop Interference
z_ucla,pe_rate,347,-0.049545840880287545,0.060257794955996376,0.6426512968299711,0.694,500,UCLA Loneliness,WCST PE Rate
z_ucla,prp_bottleneck,447,0.09376613188076002,0.09508051362134896,0.9642058165548099,0.894,500,UCLA Loneliness,PRP Bottleneck (ms)
z_ucla,stroop_interference,377,0.06814865873989505,0.07482832045651333,0.8037135278514589,0.754,500,UCLA Loneliness,Stroop Interference
z_ucla,z_dass_anx,419,0.11178068825820972,0.11201878514119826,0.9856801909307876,0.838,500,UCLA Loneliness,DASS Anxiety
z_ucla,z_dass_dep,500,0.40674878014995886,0.40674878014995886,1.0,1.0,500,UCLA Loneliness,DASS Depression
z_ucla,z_dass_str,433,0.11311637315114371,0.11320905012011084,0.9907621247113164,0.866,500,UCLA Loneliness,DASS Stress
