node_i,node_j,node_i_label,node_j_label,community_i,community_j,weight,abs_weight,sign
z_ucla,z_dass_dep,UCLA Loneliness,DASS Depression,Affect,Affect,0.4154100115636153,0.4154100115636153,positive
z_ucla,z_dass_anx,UCLA Loneliness,DASS Anxiety,Affect,Affect,0.0858114430345897,0.0858114430345897,positive
z_ucla,z_dass_str,UCLA Loneliness,DASS Stress,Affect,Affect,0.095036212471972,0.095036212471972,positive
z_ucla,pe_rate,UCLA Loneliness,WCST PE Rate,Affect,Executive,-0.019881795210714478,0.019881795210714478,negative
z_ucla,stroop_interference,UCLA Loneliness,Stroop Interference,Affect,Executive,0.033322620724066124,0.033322620724066124,positive
z_ucla,prp_bottleneck,UCLA Loneliness,PRP Bottleneck (ms),Affect,Executive,0.08796052440075379,0.08796052440075379,positive
z_dass_dep,z_dass_anx,DASS Depression,DASS Anxiety,Affect,Affect,0.2929844364514451,0.2929844364514451,positive
z_dass_dep,z_dass_str,DASS Depression,DASS Stress,Affect,Affect,0.31085329535125,0.31085329535125,positive
z_dass_dep,pe_rate,DASS Depression,WCST PE Rate,Affect,Executive,-0.05189588541896186,0.05189588541896186,negative
z_dass_dep,stroop_interference,DASS Depression,Stroop Interference,Affect,Executive,-0.03076505667823675,0.03076505667823675,negative
z_dass_anx,z_dass_str,DASS Anxiety,DASS Stress,Affect,Affect,0.42307163955235216,0.42307163955235216,positive
pe_rate,stroop_interference,WCST PE Rate,Stroop Interference,Executive,Executive,0.04709377430009435,0.04709377430009435,positive
pe_rate,prp_bottleneck,WCST PE Rate,PRP Bottleneck (ms),Executive,Executive,0.14553081405298332,0.14553081405298332,positive
stroop_interference,prp_bottleneck,Stroop Interference,PRP Bottleneck (ms),Executive,Executive,0.10579443819390862,0.10579443819390862,positive
