outcome,term,estimate,std_error,stat,p_value,conf_low,conf_high,q_value
Stroop interference (ms),Intercept,-93.53037276568959,124.61571668609936,-0.7505503740052937,0.4529232967451996,-337.7726893780914,150.7119438467122,0.5260276328748614
Stroop interference (ms),C(gender)[T.male],-13.870447579471778,21.874865444640708,-0.6340815039330907,0.5260276328748614,-56.744396017627324,29.003500858683765,0.5260276328748614
Stroop interference (ms),high_loneliness,31.48060749054757,30.381691072179553,1.036170350615351,0.3001226763654624,-28.066412800346455,91.0276277814416,0.5252146836395593
Stroop interference (ms),z_dass_dep,-18.29889384447755,13.054131649696766,-1.401770285111428,0.16098385452040598,-43.88452172732765,7.2867340383725505,0.5252146836395593
Stroop interference (ms),z_dass_anx,17.640660049825648,15.110728823235265,1.1674261550309997,0.24303831377249108,-11.975824223866784,47.25714432351808,0.5252146836395593
Stroop interference (ms),z_dass_stress,-11.405093585263655,14.22924742593995,-0.8015247218536761,0.4228279379816724,-39.29390606721523,16.48371889668792,0.5260276328748614
Stroop interference (ms),age,11.288398080300752,5.962585321446066,1.893205291285132,0.05833057402518058,-0.39805440448071927,22.97485056508222,0.4083140181762641
PRP bottleneck (short-long RT),Intercept,440.6409430199526,146.74865604014846,3.002691506076888,0.00267603545496798,153.01886240160536,728.2630236382998,0.01873224818477586
PRP bottleneck (short-long RT),C(gender)[T.male],-105.72811141906777,38.00091733584918,-2.782251556841401,0.005398317925599099,-180.20854077681594,-31.247682061319594,0.018894112739596847
PRP bottleneck (short-long RT),high_loneliness,-85.03851800520648,50.21737327621534,-1.693408325789187,0.09037777120211671,-183.4627610247927,13.385725014379759,0.15816109960370425
PRP bottleneck (short-long RT),z_dass_dep,12.356669294445185,27.430503913668186,0.4504718299501619,0.6523702618662434,-41.40613045412946,66.11946904301983,0.7610986388439507
PRP bottleneck (short-long RT),z_dass_anx,-3.031677117329153,29.255825547034934,-0.1036264422774565,0.9174658027265389,-60.37204152750445,54.308687292846145,0.9174658027265389
PRP bottleneck (short-long RT),z_dass_stress,34.70118956988369,28.654656456836314,1.2110139802986477,0.22589004671026547,-21.4609050748836,90.86328421465097,0.31624606539437167
PRP bottleneck (short-long RT),age,13.633674605914814,6.785116061545085,2.009350242832869,0.04450000307531352,0.33509149436219055,26.932257717467436,0.1038333405090649
WCST total errors,Intercept,33.28120087144003,11.684243821454873,2.8483829488672887,0.004394201427361304,10.380503794803829,56.18189794807623,0.030759409991529128
WCST total errors,C(gender)[T.male],-1.8445658617555665,3.802377702329357,-0.48510853107138086,0.6275993608423014,-9.297089213939268,5.607957490428135,0.878639105179222
WCST total errors,high_loneliness,0.05045064232249652,5.108127859256252,0.009876542583223864,0.9921197872729364,-9.961295990245443,10.062197274890437,0.9921197872729364
WCST total errors,z_dass_dep,-1.5535575003641566,1.8234933434878537,-0.8519677386881038,0.3942319981131348,-5.127538779648876,2.020423778920563,0.8198342495635302
WCST total errors,z_dass_anx,-1.587743686394187,2.1901128342554834,-0.724959765341922,0.468476714036303,-5.880285963613876,2.7047985908255012,0.8198342495635302
WCST total errors,z_dass_stress,0.5581568023446873,2.3551442760114822,0.2369947387214617,0.8126608718974627,-4.0578411570334785,5.1741547617228525,0.9481043505470399
WCST total errors,age,-0.741952843478506,0.49648538544461057,-1.4944102389118168,0.13506842703338354,-1.7150463178004296,0.23114063084341752,0.4727394946168424
Latent meta-control factor,Intercept,-2.00616137402563,1.538557746852965,-1.303923351677324,0.19225971744940906,-5.021679145992535,1.009356397941275,0.3364545055364659
Latent meta-control factor,C(gender)[T.male],-0.5222703919996654,0.2873697352272286,-1.8174161297350833,0.06915341980454195,-1.0855047232918447,0.04096393929251385,0.3364545055364659
Latent meta-control factor,high_loneliness,0.022123474596645216,0.34554260000691506,0.06402531727260974,0.9489500678925875,-0.6551275765412381,0.6993745257345285,0.9840478655947018
Latent meta-control factor,z_dass_dep,-0.20253633875713442,0.15489528039076864,-1.307569464002888,0.19101937975004935,-0.5061255096982742,0.10105283218400538,0.3364545055364659
Latent meta-control factor,z_dass_anx,0.11174434422926857,0.21119348533405913,0.5291088598330338,0.5967299357018092,-0.3021872807949755,0.5256759692535126,0.8354219099825329
Latent meta-control factor,z_dass_stress,0.004010759857011338,0.20059448328780569,0.019994367697823697,0.9840478655947018,-0.3891472028845096,0.39716872259853225,0.9840478655947018
Latent meta-control factor,age,0.10571239577191478,0.07430197575228116,1.4227400375510106,0.15481152954428704,-0.03991680068272467,0.2513415922265542,0.3364545055364659
