hypothesis,description,status,term,nobs,estimate,p_value,conf_low,conf_high
Hγ1,PRP 병목 U자형,estimated,z_ucla_sq,77,-25.508646418639394,0.13589777317821977,-59.23479573125237,8.217502893973581
Hγ2,Stroop 로그 관계,estimated,log_ucla,81,54.16681041737372,0.3262150590961629,-55.03809151798719,163.37171235273462
Hγ3,외로움×성별 → WCST 보속 오류,estimated,z_ucla:C(gender)[T.male],74,2.7380274733269383,0.07456402411404062,-0.27919024582513075,5.755245192479007
Hγ4,외로움×나이 → PRP 병목,estimated,z_ucla:age,77,-2.305189662787405,0.7227883748888803,-15.216232820767555,10.605853495192747
Hγ5,외로움×DASS-우울 → Stroop,estimated,z_ucla:z_dass_dep,81,-0.8410416298208496,0.9364329844149792,-21.785803175755913,20.103719916114212
Hγ6,Meta-control 요인 ~ 외로움,estimated,z_ucla,73,0.18399806590172754,0.3168816255881974,-0.1802575168892123,0.5482536486926674
Hγ7,Meta-control×정서 → PRP,estimated,meta_control:dass_total_z,73,16.48060518404809,0.26589365275780696,-12.848570193615867,45.809780561712046
Hγ8,PRP T2 CV(짧은 SOA) ~ 외로움,estimated,z_ucla,75,0.022355920116611326,0.109965384505372,-0.005189691703608744,0.049901531936831396
Hγ9,Stroop post-error slowing ~ 외로움,estimated,z_ucla,45,38.37769881366943,0.6354574372374346,-124.19018197818579,200.94557960552467
Hγ10,Stroop incongruent slope ~ 외로움,estimated,z_ucla,79,0.6751898261379927,0.11995236655783957,-0.18012437719865593,1.5305040294746415
Hγ11,PRP CV×Loneliness → WCST non-persev errors,estimated,prp_t2_cv_short:z_ucla,72,12.034819909433029,0.25772996641873497,-9.022380228156997,33.092020047023055
