outcome,term,estimate,std_error,stat,p_value,conf_low,conf_high,q_value
Stroop interference (ms),Intercept,-65.20646247894015,107.16824021055692,-0.6084495028641592,0.5428893878481394,-275.25235357816894,144.83942862028863,0.6909501299885411
Stroop interference (ms),C(gender)[T.male],-18.92373289600986,21.700241194534694,-0.872051730963059,0.383180156996511,-61.455424093130304,23.607958301110585,0.6097907167919597
Stroop interference (ms),z_ucla,13.520377154862807,17.604767354588212,0.7679952187121111,0.4424900254748858,-20.98433281633657,48.02508712606218,0.6520905638577265
Stroop interference (ms),z_dass_dep,-16.82472217479366,14.364560139797351,-1.1712660889754898,0.24149183766899396,-44.97874270255611,11.329298352968792,0.4507847636487887
Stroop interference (ms),z_dass_anx,20.061865401896483,15.283081714225563,1.3126845604196964,0.18928926232255605,-9.892424330768293,50.01615513456126,0.40769994961781303
Stroop interference (ms),z_dass_stress,-19.096242241678446,13.225695170061181,-1.4438743669902765,0.14877431820041678,-45.018128445503706,6.825643962146813,0.38743961075781785
Stroop interference (ms),age,10.199896495488412,5.0868270863135265,2.0051588784946053,0.04494606465188816,0.22989861073107853,20.169894380245744,0.2206464771114562
PRP bottleneck (short-long RT),Intercept,416.55577406295794,146.33260426276811,2.8466367844786835,0.004418374280044881,129.74913994398003,703.3624081819358,0.04123815994708555
PRP bottleneck (short-long RT),C(gender)[T.male],-104.16069175213647,36.10704765435116,-2.8847745390112047,0.003916940678758631,-174.9292047427362,-33.392178761536755,0.04123815994708555
PRP bottleneck (short-long RT),z_ucla,-17.369098078867783,27.67454581377594,-0.6276199868191416,0.5302529123482137,-71.61021116237235,36.87201500463678,0.6909501299885411
PRP bottleneck (short-long RT),z_dass_dep,9.358369238504384,27.635426066390174,0.338636691036434,0.734883438566577,-44.806070549039774,63.52280902604855,0.791412933840929
PRP bottleneck (short-long RT),z_dass_anx,-12.219352118877302,27.937750511787847,-0.43737780941674453,0.6618373745202176,-66.97633693104694,42.53763269329234,0.7858747083116517
PRP bottleneck (short-long RT),z_dass_stress,41.28471874792642,27.068571077389677,1.5251901783028163,0.1272116696376589,-11.768705676719918,94.33814317257276,0.38743961075781785
PRP bottleneck (short-long RT),age,13.56674193206011,6.783031502408301,2.000100092008015,0.04548945684960556,0.27224448133922685,26.861239382780994,0.2206464771114562
WCST total errors,Intercept,32.17751366447698,10.483032253663998,3.0694853250337366,0.0021442793991859896,11.63114799852379,52.72387933043018,0.04123815994708555
WCST total errors,C(gender)[T.male],-1.3665733123309596,3.5674996868467304,-0.38306192916273446,0.701673846706832,-8.358744213408473,5.625597588746553,0.7858747083116517
WCST total errors,z_ucla,2.403770592520715,2.8082057186727862,0.8559809477408175,0.3920083179376884,-3.100211477257365,7.907752662298795,0.6097907167919597
WCST total errors,z_dass_dep,-2.830528465455787,2.356777479318563,-1.2010164261558558,0.22974482958419518,-7.449727444495263,1.7886705135836891,0.4507847636487887
WCST total errors,z_dass_anx,-1.827819654874022,1.8469787810191554,-0.989626775173583,0.32235657781652605,-5.447831545881257,1.7921922361332139,0.5641240111789206
WCST total errors,z_dass_stress,0.07908882658730315,2.456450795906038,0.03219638134788366,0.9743154419507706,-4.735466263183283,4.893643916357889,0.9743154419507706
WCST total errors,age,-0.700097869588706,0.4651795071537228,-1.505005828550724,0.13232257824432705,-1.6118329499560953,0.21163721077868314,0.38743961075781785
Latent meta-control factor,Intercept,-1.7963748066358765,1.2970003279618845,-1.3850226309955624,0.16604554746763622,-4.338448737377808,0.7456991241060553,0.38743961075781785
Latent meta-control factor,C(gender)[T.male],-0.5394881464733594,0.2719508347905871,-1.9837708786177715,0.0472813879524549,-1.0725019882285125,-0.006474304718206314,0.2206464771114562
Latent meta-control factor,z_ucla,0.14640151604935178,0.2032530352595784,0.7202919054191715,0.4713452875440438,-0.25196711280787165,0.5447701449065752,0.6598834025616613
Latent meta-control factor,z_dass_dep,-0.23923031801779923,0.17109059616395736,-1.3982669029251793,0.16203293279754005,-0.5745617245926424,0.09610108855704394,0.38743961075781785
Latent meta-control factor,z_dass_anx,0.08214361958437562,0.20455438929002012,0.4015734879583113,0.6879979446332694,-0.3187756163036496,0.4830628554724008,0.7858747083116517
Latent meta-control factor,z_dass_stress,-0.04368347184179488,0.2017494825389565,-0.21652334019424258,0.8285798337960797,-0.43910519151774213,0.35173824783415236,0.8592679757885271
Latent meta-control factor,age,0.0968927283562153,0.06250103231343981,1.5502580480639538,0.12107959220902656,-0.02560704397470087,0.21939250068713148,0.38743961075781785
