outcome,term,coef,se,t,p
t2_rt_sd,Intercept,476.52195149538,12.919036173859919,36.8852556090495,2.282031652703856e-44
t2_rt_sd,C(gender_male)[T.1],-84.19057717446269,21.002534059835185,-4.008591388763274,0.000164232191103679
t2_rt_sd,z_ucla_total,4.347700595148861,16.92536420741671,0.25687486200407406,0.7981124459664206
t2_rt_sd,z_ucla_total:C(gender_male)[T.1],56.30977934562548,21.88919580130387,2.572491920524156,0.012465793018668327
t2_rt_sd,z_age,16.326721592143578,10.457304504048064,1.561274378672194,0.12346876233903636
t2_rt_sd,z_dass_depression,-18.615187542487476,16.33362595488932,-1.139684941598359,0.2587322292020004
t2_rt_sd,z_dass_anxiety,-1.1561372120596989,15.35558102467,-0.07529101049333592,0.9402217481514427
t2_rt_sd,z_dass_stress,-4.960041165051091,15.519347191270583,-0.3196037245587911,0.7503262009679581
t2_rt_sd_short,Intercept,429.79931367692484,15.24864192822695,28.18607163181647,1.993724893369664e-37
t2_rt_sd_short,C(gender_male)[T.1],-71.2636412015436,24.78978440449175,-2.8747180709095272,0.005508582977883884
t2_rt_sd_short,z_ucla_total,17.2358750218075,19.977405034745328,0.8627684622617566,0.3915373047015108
t2_rt_sd_short,z_ucla_total:C(gender_male)[T.1],53.084926736933554,25.836332090028154,2.0546618828073635,0.04406468326842462
t2_rt_sd_short,z_age,16.732243336574186,12.343002200064346,1.3556056351093382,0.18006458961339367
t2_rt_sd_short,z_dass_depression,-24.78739086245809,19.2789624724215,-1.28572224246592,0.2032459260299822
t2_rt_sd_short,z_dass_anxiety,-9.678680188800072,18.124553062158494,-0.534009316290827,0.595214444107868
t2_rt_sd_short,z_dass_stress,-9.274996952703702,18.317850116276468,-0.5063365457097136,0.614387830904632
t2_rt_sd_long,Intercept,255.21861239449262,16.325986544834247,15.63266095397139,2.323201733738073e-23
t2_rt_sd_long,C(gender_male)[T.1],-56.78773109133762,26.54122829705223,-2.13960448460649,0.0362672437149026
t2_rt_sd_long,z_ucla_total,-9.719947551642214,21.38884546788487,-0.45444002885693924,0.6510740871327273
t2_rt_sd_long,z_ucla_total:C(gender_male)[T.1],51.02422417589998,27.661716502691498,1.8445791016235489,0.06980103700910024
t2_rt_sd_long,z_age,4.0401027428487115,13.215058022189456,0.3057196371037463,0.76082604720289
t2_rt_sd_long,z_dass_depression,2.97404344287102,20.641056653083563,0.14408387578485368,0.8858941533404587
t2_rt_sd_long,z_dass_anxiety,10.420077074899405,19.40508609335153,0.5369765959693154,0.5931752305826479
t2_rt_sd_long,z_dass_stress,-3.3522710277127565,19.612039940096697,-0.1709292372416119,0.8648272059154247
