outcome,predictor,beta,p_value,r_squared,n
tau_interference,Intercept,36.70290785506895,0.0035993565788834786,0.03243182267127176,170
tau_interference,C(gender_male)[T.1],-1.4630025468356145,0.9391894621780353,0.03243182267127176,170
tau_interference,z_ucla[0],-2.892471116321474,0.7214056556029951,0.03243182267127176,170
tau_interference,z_ucla[1],-2.8840011973582076,0.721405655602996,0.03243182267127176,170
tau_interference,z_ucla[0]:C(gender_male)[T.1],2.1918010671903154,0.8189881958920306,0.03243182267127176,170
tau_interference,z_ucla[1]:C(gender_male)[T.1],2.1853828950889698,0.8189881958920315,0.03243182267127176,170
tau_interference,z_dass_dep[0],-3.6036770873210613,0.6330514054112021,0.03243182267127176,170
tau_interference,z_dass_dep[1],-3.614323128498021,0.6330514054112022,0.03243182267127176,170
tau_interference,z_dass_anx[0],2.653721751303559,0.7127353519608584,0.03243182267127176,170
tau_interference,z_dass_anx[1],2.661561419051807,0.7127353519608584,0.03243182267127176,170
tau_interference,z_dass_str[0],11.158668871266356,0.1528109134984465,0.03243182267127176,170
tau_interference,z_dass_str[1],11.191633991449162,0.15281091349844658,0.03243182267127176,170
tau_interference,z_age,-0.4260281869043486,0.9800042483319346,0.03243182267127176,170
mu_interference,Intercept,93.53526413789872,1.5183711920777441e-12,0.04150539561045685,170
mu_interference,C(gender_male)[T.1],-23.882081024808407,0.25422850220122506,0.04150539561045685,170
mu_interference,z_ucla[0],1.9051916015266381,0.808857565391922,0.04150539561045685,170
mu_interference,z_ucla[1],1.8996126975979968,0.8088575653919191,0.04150539561045685,170
mu_interference,z_ucla[0]:C(gender_male)[T.1],5.942002839174059,0.5518861123813377,0.04150539561045685,170
mu_interference,z_ucla[1]:C(gender_male)[T.1],5.9246030863318255,0.5518861123813382,0.04150539561045685,170
mu_interference,z_dass_dep[0],-4.601432862966725,0.5504848140195346,0.04150539561045685,170
mu_interference,z_dass_dep[1],-4.615026490404787,0.5504848140195358,0.04150539561045685,170
mu_interference,z_dass_anx[0],1.5459931593840206,0.8463690450654536,0.04150539561045685,170
mu_interference,z_dass_anx[1],1.5505603573974138,0.8463690450654531,0.04150539561045685,170
mu_interference,z_dass_str[0],-11.53504859737828,0.1278990032789968,0.04150539561045685,170
mu_interference,z_dass_str[1],-11.569125624639668,0.1278990032789974,0.04150539561045685,170
mu_interference,z_age,7.711598326722056,0.18083015459088947,0.04150539561045685,170
sigma_interference,Intercept,33.35165627920203,9.83512760757626e-05,0.010520377104986878,170
sigma_interference,C(gender_male)[T.1],-4.40614417572136,0.7257026904909538,0.010520377104986878,170
sigma_interference,z_ucla[0],0.37361283311628335,0.9426762109494711,0.010520377104986878,170
sigma_interference,z_ucla[1],0.3725187961171775,0.9426762109494696,0.010520377104986878,170
sigma_interference,z_ucla[0]:C(gender_male)[T.1],5.069501867014606,0.4431120022098801,0.010520377104986878,170
sigma_interference,z_ucla[1]:C(gender_male)[T.1],5.054657027335679,0.44311200220988023,0.010520377104986878,170
sigma_interference,z_dass_dep[0],-0.5741124230311113,0.8853047621741614,0.010520377104986878,170
sigma_interference,z_dass_dep[1],-0.5758084752432512,0.8853047621741617,0.010520377104986878,170
sigma_interference,z_dass_anx[0],-0.9611868288958225,0.8121434738077957,0.010520377104986878,170
sigma_interference,z_dass_anx[1],-0.9640263825825772,0.8121434738077958,0.010520377104986878,170
sigma_interference,z_dass_str[0],-2.4308290042241225,0.6140299882958004,0.010520377104986878,170
sigma_interference,z_dass_str[1],-2.4380101986114195,0.6140299882958011,0.010520377104986878,170
sigma_interference,z_age,2.384510650180524,0.5453711544243702,0.010520377104986878,170
