gender,mediator,outcome,n,a,b,c,c_prime,indirect,indirect_ci_low,indirect_ci_high,indirect_significant,proportion_mediated,n_bootstrap,covariates_used
female,dass_depression,pe_rate,106,2.1089033297450044e-14,0.674898561170843,-0.022324063121965457,-0.02232406312195618,1.4232958228933033e-14,-2.662337213894463e-16,3.089909907502207e-14,False,-6.37561278660277e-13,5000,"['z_age', 'z_dass_dep', 'z_dass_anx', 'z_dass_str']"
female,dass_depression,stroop_interference,106,2.1089033297450044e-14,8.05939331484902,0.28944063901530376,0.28944063901541606,1.6996481397409726e-13,-3.903061341619303e-15,3.9608042975395673e-13,False,5.872182101045963e-13,5000,"['z_age', 'z_dass_dep', 'z_dass_anx', 'z_dass_str']"
female,dass_anxiety,pe_rate,106,1.5529244556944377e-14,0.9930601096495275,-0.022324063121965457,-0.022324063121957713,1.5421473302493512e-14,-1.9497071989379633e-16,3.1644430297990524e-14,False,-6.908004702477196e-13,5000,"['z_age', 'z_dass_dep', 'z_dass_anx', 'z_dass_str']"
female,dass_anxiety,stroop_interference,106,1.5529244556944377e-14,12.485054699549474,0.28944063901530376,0.2894406390153953,1.938834677361315e-13,-2.819047410785407e-15,4.2558126764791756e-13,False,6.698557203153499e-13,5000,"['z_age', 'z_dass_dep', 'z_dass_anx', 'z_dass_str']"
female,dass_stress,pe_rate,106,1.9539925233402755e-14,0.7503996611863535,-0.022324063121965457,-0.022324063121956155,1.4662753274752106e-14,-2.2740670865782016e-16,2.8065640852768793e-14,False,-6.568138243761231e-13,5000,"['z_age', 'z_dass_dep', 'z_dass_anx', 'z_dass_str']"
female,dass_stress,stroop_interference,106,1.9539925233402755e-14,8.312319729950474,0.28944063901530376,0.2894406390154256,1.6242210603937084e-13,-2.8789462977562463e-15,3.5324025453004403e-13,False,5.611586078304056e-13,5000,"['z_age', 'z_dass_dep', 'z_dass_anx', 'z_dass_str']"
male,dass_depression,pe_rate,64,5.551115123125783e-17,0.6535528198451663,-0.015561759264715085,-0.01556175926471523,3.627946942004003e-17,-3.6109767290107637e-16,2.471392071743245e-14,False,-2.3313218513989303e-15,5000,"['z_age', 'z_dass_dep', 'z_dass_anx', 'z_dass_str']"
male,dass_depression,stroop_interference,64,5.551115123125783e-17,-0.10362425178728518,1.667387246859898,1.6673872468598956,-5.752301512189927e-18,-1.230333483102606e-13,1.7172181228173399e-13,False,-3.4498893541514914e-18,5000,"['z_age', 'z_dass_dep', 'z_dass_anx', 'z_dass_str']"
male,dass_anxiety,pe_rate,64,4.163336342344337e-17,0.9139103290178718,-0.015561759264715085,-0.015561759264715841,3.804916086443976e-17,-2.664376173319616e-16,2.902509822009935e-14,False,-2.4450423770988973e-15,5000,"['z_age', 'z_dass_dep', 'z_dass_anx', 'z_dass_str']"
male,dass_anxiety,stroop_interference,64,4.163336342344337e-17,5.505168989714928,1.667387246859898,1.6673872468598971,2.291987012562722e-16,-2.544423871979308e-14,2.8611968579782266e-13,False,1.3745979027242168e-16,5000,"['z_age', 'z_dass_dep', 'z_dass_anx', 'z_dass_str']"
male,dass_stress,pe_rate,64,-1.249000902703301e-16,0.6611178357537583,-0.015561759264715085,-0.01556175926471591,-8.257367736496969e-17,-3.3712826393523685e-16,2.709001019115184e-14,False,5.3061916689714e-15,5000,"['z_age', 'z_dass_dep', 'z_dass_anx', 'z_dass_str']"
male,dass_stress,stroop_interference,64,-1.249000902703301e-16,3.5521090757552995,1.667387246859898,1.6673872468598931,-4.436587442118958e-16,-3.1445807175372354e-14,2.7891719354576104e-13,False,-2.6608020725084394e-16,5000,"['z_age', 'z_dass_dep', 'z_dass_anx', 'z_dass_str']"
