category_num,loneliness_group,mean_slope,sem_slope,n
2,High loneliness (top 25%),-0.557404478910503,16.87279341573683,51
2,Low loneliness (bottom 25%),-30.583764933577392,17.239663766712106,53
3,High loneliness (top 25%),-159.10704003729543,32.44244985503659,50
3,Low loneliness (bottom 25%),-106.0743976172302,25.48591462269548,52
4,High loneliness (top 25%),-112.31357393329338,36.14726071869678,49
4,Low loneliness (bottom 25%),-89.0606719111491,23.116661838232815,52
5,High loneliness (top 25%),-110.66195717327099,29.485823714570255,49
5,Low loneliness (bottom 25%),-29.394055710295117,16.453553252006838,51
6,High loneliness (top 25%),-126.849849617059,24.49737105026771,49
6,Low loneliness (bottom 25%),-122.0221821180885,26.06887567839049,49
