participant_id,slope_ms_per_segment,loneliness_group
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,-102.03959540458317,Low loneliness (bottom 25%)
0d841i8KPjdjwCYfDuUUXj0SEjH2,-167.46829668996799,High loneliness (top 25%)
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,-262.53609090924243,High loneliness (top 25%)
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,-126.60338660998983,Low loneliness (bottom 25%)
1fbLQPCcysVlSKup96K4yI5NX6G3,-40.65906060254931,High loneliness (top 25%)
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,-32.40133648326387,Low loneliness (bottom 25%)
28nQWMwCaSNFBEXlicY3eHqpwKU2,-1.5141258644414473,High loneliness (top 25%)
2h5FgHUEvBS1twD5DqbTIRrMm1f2,-230.22418181641515,High loneliness (top 25%)
3xCaqfcHxRQxuOlEzXz3PNcHODH2,-53.866963036662035,High loneliness (top 25%)
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,-60.25759384827233,High loneliness (top 25%)
50R0P1MIMvRvK1qpqfGROchII6R2,-13.410984869436765,Low loneliness (bottom 25%)
5zxa5CMLGQSSonWOXqXf0QNS3PH3,-57.02806556893381,High loneliness (top 25%)
62fAfeQc27bZelkPX7G54T3gvci2,-272.01476415095885,High loneliness (top 25%)
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,-44.91234276215054,High loneliness (top 25%)
80UJMJbCOMgs6YVpsMgXfYTzw6o2,-41.27440059938402,High loneliness (top 25%)
87w5Le0CgZhSfYAaOH3Xd2fc98l1,-88.9540909090943,Low loneliness (bottom 25%)
8bwaafIhKVMNBoHaXFcY8HirS9u2,-72.55118167027081,High loneliness (top 25%)
9NTZ091xWyOO8DgzyTGY0O3i8IR2,-3.1629313542821387,Low loneliness (bottom 25%)
9Xz1RIwnPXgyRqmucudW9VeuDnq1,-16.364169164172075,Low loneliness (bottom 25%)
ASGvwW80q7VY7xFaLGZhVuErUQu2,-73.31198846962995,Low loneliness (bottom 25%)
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,-156.6129091024399,Low loneliness (bottom 25%)
AyAnuCaltBbpEYbudoyNzTvXlcC2,-215.7617272750356,High loneliness (top 25%)
