task,analysis,metric,male_r,male_p,female_r,female_p,pattern
PRP,Dual-Error Cascades,Max Dual-Error Run,-0.0065636243733701,0.9740796847975932,0.0387772610407722,0.8003448277818692,Neither significant
PRP,Dual-Error Cascades,Max T2-Error Run,0.2373729096728477,0.2331849803270924,0.1371210856773773,0.3690763789349217,Neither significant
PRP,Learning Curves,Bottleneck Slope,-0.1019172020396736,0.6129697364175581,0.2785121993513282,0.0671503767271963,Female-specific
PRP,RT Variability,T2 RT SD (long SOA),0.5190634476127525,0.0055316288886906,-0.0344383448732656,0.8243703050259488,Male-specific
PRP,RT Variability,T2 RT SD (short SOA),0.3177971831298354,0.1062286283874336,-0.0751683119087123,0.6277167312502905,Neither significant
Stroop,Error Cascades,Max Error Run,0.0726460095397583,0.7187766529087941,-0.1658427248687217,0.2762589878960576,Neither significant
Stroop,Error Cascades,Max Slow Run,0.1958272179248359,0.327619277822676,-0.1504383779691762,0.3239361580160868,Neither significant
Stroop,Gratton Effect,Adaptation Magnitude,-0.2658202348121548,0.1801989153032131,-0.1251991000793514,0.4125246713139953,Neither significant
Stroop,Learning Curves,Interference Slope,0.2513693363340618,0.2059525259303318,0.2923398811887988,0.0513317961250017,Female-specific
Stroop,RT Variability,Incongruent RT SD,0.0916004557062392,0.6495373086440259,-0.0559605055186084,0.7150239580241412,Neither significant
