analysis,outcome,subgroup,n,effect_size,effect_type,power,observed_p,significant
Correlation,WCST PE Rate,Full Sample,151,-0.0869205344096633,r,0.18536231240518722,0.28858463812344476,False
Correlation,WCST Accuracy,Full Sample,151,0.0468729828872377,r,0.0880621557818744,0.5676520994436788,False
Correlation,PRP Bottleneck,Full Sample,156,0.05132308797920414,r,0.09738089374625201,0.5245879160916639,False
Correlation,Stroop Interference,Full Sample,160,0.006988878595946222,r,0.05087893675441494,0.9301063583968354,False
Correlation,WCST PE Rate,Male,56,0.03456398634318649,r,0.057290369627567006,0.8003493846718606,False
Correlation,WCST Accuracy,Male,56,-0.018005453628386094,r,0.05197103274547548,0.8952120086751809,False
Correlation,PRP Bottleneck,Male,58,0.19198898639177348,r,0.3024788188167054,0.1487993963791113,False
Correlation,Stroop Interference,Male,59,0.039153556032472954,r,0.059901561516955276,0.7684352123600589,False
Correlation,WCST PE Rate,Female,93,-0.15260199639136027,r,0.3085501056608406,0.14420638155066842,False
Correlation,WCST Accuracy,Female,93,0.14727697769772674,r,0.29066985945000456,0.15890208858597643,False
Correlation,PRP Bottleneck,Female,95,-0.04425007336422036,r,0.07090777212072404,0.6702569189515607,False
Correlation,Stroop Interference,Female,98,-0.008583377438651193,r,0.050802176476973986,0.9331499283092909,False
Group Comparison,WCST PE Rate,Full Sample,151,-0.10340963659107316,Cohen's d,0.09670421606297562,0.5263951476443351,False
Group Comparison,WCST Accuracy,Full Sample,151,-0.03456758604780899,Cohen's d,0.05511098136233451,0.8321862435056011,False
Group Comparison,PRP Bottleneck,Full Sample,156,0.2159949672748544,Cohen's d,0.2682822012637103,0.1793530093738287,False
Group Comparison,Stroop Interference,Full Sample,160,0.0867728708387664,Cohen's d,0.0847181289563142,0.583946877896685,False
UCLA × Gender Interaction,WCST PE Rate,Full Sample,150,0.0085636849100604,ΔR²,0.20353621124994703,0.2616055735313018,False
UCLA × Gender Interaction,WCST Accuracy,Full Sample,150,0.0037215580434368,ΔR²,0.11484802380512205,0.4601433827169144,False
UCLA × Gender Interaction,Stroop Interference,Full Sample,158,0.0019838082984399,ΔR²,0.08591897565419271,0.5800571899152676,False
UCLA × Gender Interaction,PRP Bottleneck,Full Sample,154,0.013718321059015,ΔR²,0.3205529544735958,0.1376660659174321,False
