Group,Variable,Column,N,Mean,SD,Min,Max,Median,Skewness,Kurtosis
Total,Age (years),age,212,20.382075471698112,3.371227494388591,-20.0,29.0,20.0,-7.890546147286645,95.62434528147098
Total,UCLA Loneliness,ucla_score,212,40.632075471698116,11.114932078212703,20.0,73.0,40.0,0.3638200267347495,-0.34935815301918893
Total,DASS-21 Depression,dass_depression,212,7.632075471698113,7.983187869704521,0.0,42.0,4.0,1.7003855579895777,3.275376052130616
Total,DASS-21 Anxiety,dass_anxiety,212,5.613207547169812,5.917394640475453,0.0,28.0,4.0,1.3393539001243913,1.4962420762913053
Total,DASS-21 Stress,dass_stress,212,10.10377358490566,7.659123042970116,0.0,42.0,8.0,0.8813232677801001,0.7254846663498684
Total,Stroop Interference RT,stroop_interference,212,139.4661616695092,104.26386222396148,-94.169444443658,480.5887301595913,126.61484127514927,0.7365204832192022,0.4753620856754801
Total,Stroop Interference RT Slope,stroop_interference_slope,212,-0.8554156905505442,63.53871403511607,-270.8489069264161,153.2908311688842,-2.6421857898644885,-0.26162561268662926,1.2125436946996242
Total,WCST Perseverative Error Rate (%),wcst_perseverative_error_rate,212,10.69543862806551,6.099151005418849,0.0,48.4375,9.938271604938272,1.96669140651806,7.821860235501456
Total,"WCST Exploration RT (ms, all trials)",wcst_exploration_rt_all,208,2003.186023825022,941.9387194302334,613.0,8292.5,1903.1166666666977,2.2369734454812,10.184909139892815
Total,"WCST Confirmation RT (ms, all trials)",wcst_confirmation_rt_all,212,1939.7631729035134,565.6243144545451,556.6538461538596,5382.187500000116,1855.3239130403635,1.7258232393017394,6.83755400282792
Total,"WCST Exploitation RT (ms, all trials)",wcst_exploitation_rt_all,212,1383.4807521839311,401.71613271179217,779.4190476196153,3804.479268292465,1330.1702380535148,2.4327306407244524,9.982412018610333
