node_i,node_j,n_present,mean_weight,mean_abs_weight,sign_consistency,presence_rate,n_bootstrap,node_i_label,node_j_label
pe_rate,prp_bottleneck,424,0.09088015001251583,0.100569546181329,0.8301886792452831,0.848,500,WCST PE Rate,PRP Bottleneck (ms)
pe_rate,stroop_interference,402,0.06787572991926556,0.09272265875182163,0.5970149253731343,0.804,500,WCST PE Rate,Stroop Interference
stroop_interference,prp_bottleneck,405,0.03541307403957872,0.08471209547829,0.2641975308641975,0.81,500,Stroop Interference,PRP Bottleneck (ms)
z_dass_anx,pe_rate,358,-0.05048063880844351,0.08567363876916179,0.4301675977653631,0.716,500,DASS Anxiety,WCST PE Rate
z_dass_anx,prp_bottleneck,376,0.07622011522337728,0.08626147690766893,0.7819148936170213,0.752,500,DASS Anxiety,PRP Bottleneck (ms)
z_dass_anx,stroop_interference,326,-0.00013886290551840406,0.05153649444551585,0.006134969325153374,0.652,500,DASS Anxiety,Stroop Interference
z_dass_anx,z_dass_str,500,0.4436673096478646,0.4436673096478646,1.0,1.0,500,DASS Anxiety,DASS Stress
z_dass_dep,pe_rate,479,-0.16310761499975032,0.1637408654896917,0.9832985386221295,0.958,500,DASS Depression,WCST PE Rate
z_dass_dep,prp_bottleneck,339,-0.05070374087389587,0.07539594804593959,0.5339233038348082,0.678,500,DASS Depression,PRP Bottleneck (ms)
z_dass_dep,stroop_interference,321,-0.027122747990484867,0.062090939429082385,0.32087227414330216,0.642,500,DASS Depression,Stroop Interference
z_dass_dep,z_dass_anx,500,0.2978208464799385,0.2978208464799385,1.0,1.0,500,DASS Depression,DASS Anxiety
z_dass_dep,z_dass_str,498,0.2573179494989543,0.2573179494989543,1.0,0.996,500,DASS Depression,DASS Stress
z_dass_str,pe_rate,380,0.07170627405969367,0.08815041700707277,0.6736842105263158,0.76,500,DASS Stress,WCST PE Rate
z_dass_str,prp_bottleneck,478,-0.1460620964433112,0.1468139742537712,0.9790794979079498,0.956,500,DASS Stress,PRP Bottleneck (ms)
z_dass_str,stroop_interference,363,-0.0528924769289122,0.07774153806230004,0.559228650137741,0.726,500,DASS Stress,Stroop Interference
z_ucla,pe_rate,360,0.00907347089175131,0.0715745491403928,0.022222222222222223,0.72,500,UCLA Loneliness,WCST PE Rate
z_ucla,prp_bottleneck,401,0.07845293212172981,0.09731718955602728,0.6309226932668329,0.802,500,UCLA Loneliness,PRP Bottleneck (ms)
z_ucla,stroop_interference,394,0.06355613869201693,0.0874091663199456,0.5431472081218274,0.788,500,UCLA Loneliness,Stroop Interference
z_ucla,z_dass_anx,456,0.14716070175201076,0.14919165637622608,0.9649122807017544,0.912,500,UCLA Loneliness,DASS Anxiety
z_ucla,z_dass_dep,499,0.3813583492352996,0.3813583492352996,1.0,0.998,500,UCLA Loneliness,DASS Depression
z_ucla,z_dass_str,346,0.05409249926917294,0.08239725557480648,0.5433526011560693,0.692,500,UCLA Loneliness,DASS Stress
