outcome,comparison,diff,se_diff,z,p,stronger,p_fdr
pe_rate,depression vs anxiety,-0.5654382742995575,0.9043303665942273,-0.6252563169243541,0.5318028451529941,anxiety,0.820731800402226
pe_rate,depression vs stress,-0.6548444283452475,0.924358655318123,-0.708431110129952,0.4786775787246207,stress,0.820731800402226
pe_rate,anxiety vs stress,-0.08940615404569,0.921204690188355,-0.09705351589928345,0.9226838954590493,stress,0.9442959084251443
wcst_accuracy,depression vs anxiety,0.11378808354018832,1.6285327250849435,0.0698715363759443,0.9442959084251443,depression,0.9442959084251443
wcst_accuracy,depression vs stress,0.7296804424597498,1.6645999907869136,0.4383518241609534,0.6611312636551536,depression,0.8525317946665566
wcst_accuracy,anxiety vs stress,0.6158923589195615,1.6589202794586877,0.3712609741081287,0.7104431622221306,anxiety,0.8525317946665566
stroop_interference,depression vs anxiety,-26.405974117967702,16.98897223544752,-1.5543008577571038,0.12011266902474205,anxiety,0.820731800402226
stroop_interference,depression vs stress,-12.862233811863685,17.365228583374034,-0.7406890010177208,0.4588820298729983,stress,0.820731800402226
stroop_interference,anxiety vs stress,13.543740306104016,17.30597742030296,0.7826047600301861,0.43385924539055143,anxiety,0.820731800402226
prp_bottleneck,depression vs anxiety,-31.066801223973023,23.96679076831503,-1.2962436867035392,0.19489154288669353,anxiety,0.820731800402226
prp_bottleneck,depression vs stress,-16.444476970825882,24.476306084195045,-0.6718528896582351,0.5016773542406099,stress,0.820731800402226
prp_bottleneck,anxiety vs stress,14.622324253147138,24.28838693964648,0.602029450925734,0.547154533601484,anxiety,0.820731800402226
