outcome,outcome_column,n_female,n_male,mean_female,mean_male,sd_female,sd_male,mean_diff_male_minus_female,t_stat,p_value,cohen_d
Stroop Interference Effect,stroop_interference,135,84,143.7915431290672,131.26641300838634,107.30667974949203,98.18201788934324,-12.52513012068087,0.8855438160866002,0.37699508985817076,-0.12053678279139446
Stroop Mean RT (Incongruent),rt_mean_incongruent,135,84,1011.2105823408015,935.2967981816354,203.10619521919287,215.82959846179634,-75.91378415916608,2.5884521411889327,0.010485328011647272,-0.36485670350204413
Stroop Mean RT (Congruent),rt_mean_congruent,135,84,867.4190392117343,804.0303851732493,161.61811783937927,179.5986905566129,-63.388654038485015,2.637805259384503,0.009156616615299637,-0.37569897671429575
Stroop Mean RT (Neutral),rt_mean_neutral,135,84,908.1083519397379,847.5930013126263,178.9622437518851,187.35483253936766,-60.515350627111616,2.364314573318748,0.019191699668489735,-0.33210419107398087
Stroop Accuracy (Incongruent),accuracy_incongruent,135,84,0.9740740740740743,0.9722222222222223,0.035462668885273656,0.033120696167973245,-0.0018518518518519933,0.39149492409122616,0.6958813702106448,-0.053543975626910364
Stroop Accuracy (Congruent),accuracy_congruent,135,84,0.994238683127572,0.9897486772486774,0.013615170264996816,0.019655936226992028,-0.004490005878894587,1.8372360554481764,0.06841333388186492,-0.2772630738065296
Stroop Accuracy (Neutral),accuracy_neutral,135,84,0.9911522633744857,0.9907407407407408,0.01847932096291829,0.016324769251966537,-0.0004115226337448874,0.17233586206661108,0.8633546642447378,-0.02326793724868134
Stroop Effect (RT Difference),stroop_effect,135,84,143.9925925925926,131.89285714285714,107.41400561117372,98.92092714831863,-12.099735449735448,0.8514245943778351,0.3956220166528358,-0.11606767315977046
Stroop Post-Error Slowing (ms),stroop_post_error_slowing,78,57,332.94765530996654,303.7753553965859,343.6092052294973,340.91363139823795,-29.17229991338064,0.48943316223540567,0.6254185026718896,-0.08518036500690851
Stroop Post-Error RT (ms),stroop_post_error_rt,78,57,1254.7786421682065,1130.6238304001963,390.5823931272415,387.9465779868665,-124.15481176801018,1.8313146511869396,0.06950777431413334,-0.3187749953899148
Stroop Post-Correct RT (ms),stroop_post_correct_rt,135,84,920.6649086856969,854.064290130517,172.50959706331457,188.54257197177648,-66.60061855517995,2.625175542305793,0.009477524208904218,-0.37246193844008035
Stroop Incongruent RT Slope,stroop_incong_slope,135,84,-0.9902239939518445,-1.4032213677099115,2.0585760317534088,2.2763537472532986,-0.412997373758067,1.3537000684119,0.17770794266832163,-0.19258563850581495
Stroop RT Coefficient of Variation (All),stroop_cv_all,135,84,0.3032258597426955,0.3251594154232932,0.0563950869565813,0.060039038616585425,0.021933555680597683,-2.6902418689604612,0.00786183079602742,0.37936836195372103
Stroop RT CV (Incongruent),stroop_cv_incong,135,84,0.3080659970923104,0.33270655102507607,0.06166727439984296,0.06877243434115066,0.024640553932765652,-2.680941702008277,0.008102359215397615,0.38215771831132456
Stroop RT CV (Congruent),stroop_cv_cong,135,84,0.2689016997116634,0.289861321426699,0.06914515290988794,0.08033314720715432,0.020959621715035626,-1.9783657449224124,0.049642154915582645,0.2846789089662322
Stroop Valid Trial Count,stroop_trials,135,84,107.71111111111111,107.80952380952381,0.976336945345085,0.5698486477600762,0.09841269841270162,-0.9414662341710126,0.347516516201143,0.11656170822059476
Stroop Ex-Gaussian mu (Congruent),stroop_exg_congruent_mu,135,84,703.2071117348846,601.3184830400517,147.28506615090134,132.3107079030321,-101.88862869483296,5.303432451953704,3.1361021513574137e-07,-0.7188189725045613
Stroop Ex-Gaussian sigma (Congruent),stroop_exg_congruent_sigma,135,84,129.48103274083653,92.38701994481423,64.24429973163478,57.49648996602304,-37.0940127960223,4.435860331207033,1.5474739487201482e-05,-0.600708070981776
Stroop Ex-Gaussian tau (Congruent),stroop_exg_congruent_tau,135,84,164.2143673004787,202.71243520670518,98.01993375600142,114.51241493829446,38.49806790622648,-2.5536436618976186,0.011619783131624931,0.3679252790357448
Stroop Ex-Gaussian mu (Incongruent),stroop_exg_incongruent_mu,135,84,773.5574850126767,675.2807520951982,201.36104834518474,213.14964092917523,-98.27673291747851,3.3884317353144167,0.000875157305123031,-0.4771879130369199
Stroop Ex-Gaussian sigma (Incongruent),stroop_exg_incongruent_sigma,135,84,164.3390175507324,134.35311436494587,89.56241614540939,96.94724338102269,-29.985903185786526,2.2910165437772774,0.02322267045141758,-0.32432370108557523
Stroop Ex-Gaussian tau (Incongruent),stroop_exg_incongruent_tau,135,84,237.6539334043357,260.0159668503294,137.14802423742407,137.62890974882532,22.36203344599369,-1.1707600461317456,0.24328061087171432,0.1628317362393367
Stroop Ex-Gaussian mu (Neutral),stroop_exg_neutral_mu,135,84,706.8846670721151,623.1534149599955,157.98847028842033,150.05442041268623,-83.73125211211959,3.9342846358851395,0.00011836250531304605,-0.5401955071035353
Stroop Ex-Gaussian sigma (Neutral),stroop_exg_neutral_sigma,135,84,136.68517362111044,110.75800711128484,69.60879682507777,58.64222406682319,-25.927166509825597,2.9579198116882144,0.0034742116216476505,-0.39504468499225515
Stroop Ex-Gaussian tau (Neutral),stroop_exg_neutral_tau,135,84,201.2243337917878,224.44080005849406,103.26174277980054,106.41708125979208,23.21646626670625,-1.5877807712958232,0.11417096591822776,0.22220992972492876
Stroop Ex-Gaussian mu (Interference),stroop_exg_mu_interference,135,84,70.35037327779226,73.96226905514634,145.38905650019677,147.50117658868302,3.6118957773540785,-0.17717621669473232,0.8595757632089303,0.024705081331330873
Stroop Ex-Gaussian sigma (Interference),stroop_exg_sigma_interference,135,84,34.85798480989589,41.966094420131625,81.62925520400552,91.60926601840809,7.108109610235736,-0.5818001925555805,0.5615153329726966,0.08305414747229609
Stroop Ex-Gaussian tau (Interference),stroop_exg_tau_interference,135,84,73.439566103857,57.303531643624225,132.95747122619312,144.55191079917904,-16.13603446023278,0.8280892646125235,0.4088157103152982,-0.1173463958493306
Stroop LBA v_correct Interference,stroop_lba_v_correct_interference,13,11,0.567017160074101,0.7661847824209741,1.8933480111478524,1.3985392692019858,0.19916762234687313,-0.2957335931292092,0.7702502957835489,0.11809324744176247
Stroop LBA b (Threshold) Interference,stroop_lba_b_interference,13,11,0.34316156364327094,0.13159941186540422,0.6056557770075833,0.7368122184274875,-0.21156215177786672,0.7596073789138081,0.45661438922666986,-0.31648709142656867
Stroop LBA t0 Interference,stroop_lba_t0_interference,13,11,-0.06540761366624391,-0.033392269808023574,0.08933700508724697,0.10754379372294483,0.03201534385822034,-0.7845213031189141,0.4421437106744629,0.3265775510355209
