participant_id,task,n_trials,rt_slope,rt_slope_r,rt_slope_p,acc_slope,acc_slope_r,acc_slope_p,q1_rt,q4_rt,rt_q4_q1_diff,q1_acc,q4_acc,acc_q4_q1_diff,mean_rt,mean_acc
06qcrpGKL6Vc3LVplFQC90VAcRm1,stroop,108,-2.154797221931612,-0.41844327684547555,6.588556903596261e-06,-6.192422380367167e-05,-0.02015612082314387,0.8359691201076815,821.9185185173044,664.5777777803165,-157.34074073698787,1.0,1.0,0.0,696.8370370373682,0.9907407407407407
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,stroop,108,-1.0336167557423288,-0.1290207894129227,0.183257824345205,7.621442929682662e-05,0.017624124079995192,0.8563376764676711,714.1888888888838,669.2481481481465,-44.94074074073728,1.0,1.0,0.0,685.4342592592627,0.9814814814814815
0d841i8KPjdjwCYfDuUUXj0SEjH2,stroop,108,-0.8846346950706356,-0.09544214417877765,0.32582030273106066,-0.0009098097497308679,-0.1725971339930545,0.07406021152062447,963.4259258906046,888.9222221727724,-74.5037037178322,1.0,0.9259259259259259,-0.07407407407407407,915.9768518077003,0.9722222222222222
0oa5NYVnIBS9NmrmRAZrahXDctP2,stroop,108,1.2237612773640276,0.26655573641662156,0.005294710988324078,-0.0004191793611325464,-0.06919767399836012,0.4767068617774579,509.0666666660044,631.9962962959652,122.9296296299608,0.9629629629629629,0.9259259259259259,-0.03703703703703698,551.8935185176907,0.9629629629629629
146QT9LupyU2BAiTsB3PMIpVXM22,stroop,108,-2.1018767803282774,-0.2750704140190743,0.003962276793899266,-8.097783112787835e-05,-0.026358004153341986,0.7865601860652814,862.0555555566593,666.2037037048075,-195.85185185185185,1.0,1.0,0.0,792.2277777779985,0.9907407407407407
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,stroop,108,-2.8055760381112265,-0.19945586372182997,0.03849640909768305,0.0003572551373288748,0.11628531244121464,0.23072976320860084,1354.466666666446,1094.081481486559,-260.385185179887,0.9629629629629629,1.0,0.03703703703703709,1174.2796296325546,0.9907407407407407
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,stroop,108,-2.1736607695238663,-0.2524992605279471,0.008379601718390394,-0.0002619871007078417,-0.08527589579022403,0.38021467218541716,975.5777777742456,820.166666675497,-155.41111109874862,1.0,0.9629629629629629,-0.03703703703703709,947.1749999964678,0.9907407407407407
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,stroop,108,2.4998690065916063,0.20637085583002474,0.03212623677708026,-2.8580410986310028e-05,-0.006609046529998211,0.9458773783386782,852.366666648123,1027.1296296207993,174.7629629726763,1.0,1.0,0.0,905.6046296225654,0.9814814814814815
23AEyocWhqY955WHbxhHRSgQ1ms2,stroop,108,-1.0206231482382564,-0.1726700882700769,0.07393623183086069,0.0004048891556393914,0.13179002076670993,0.1739554424615166,885.0518518517966,821.6703703695977,-63.38148148219898,0.9629629629629629,1.0,0.03703703703703709,799.8120370366507,0.9907407407407407
2h5FgHUEvBS1twD5DqbTIRrMm1f2,stroop,108,-4.266005030180441,-0.432762304190814,2.9026679022227324e-06,0.00020482627873522156,0.06667024579962971,0.49299147494089957,891.074074074074,614.5222222164825,-276.5518518575915,1.0,1.0,0.0,770.1787037016065,0.9907407407407407
