participant_id,task,n_trials,rt_slope,rt_slope_r,rt_slope_p,acc_slope,acc_slope_r,acc_slope_p,q1_rt,q4_rt,rt_q4_q1_diff,q1_acc,q4_acc,acc_q4_q1_diff,mean_rt,mean_acc
06qcrpGKL6Vc3LVplFQC90VAcRm1,wcst,79,-4.678113437171553,-0.2540045497980285,0.023893274156060258,0.001411879259980526,0.08970120917191664,0.43177351853269097,1238.1736842095852,931.635000000149,-306.53868420943616,0.7894736842105263,0.85,0.06052631578947365,1002.0759493657682,0.8481012658227848
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,wcst,75,-1.6867852062581281,-0.0764438313592648,0.5144924314082644,0.0013371266002844948,0.08182377184662523,0.4852495310165196,1178.499999999987,1101.7368421052877,-76.76315789469936,0.8888888888888888,0.9473684210526315,0.05847953216374269,1156.3706666666767,0.8533333333333334
0d841i8KPjdjwCYfDuUUXj0SEjH2,wcst,61,4.164976205276094,0.16489257731204982,0.20411215096660792,0.004019037546271813,0.2220173146431725,0.08549210612175144,1312.613333384196,1456.337500154972,143.72416677077604,0.7333333333333333,0.9375,0.20416666666666672,1386.2573771085895,0.8852459016393442
0oa5NYVnIBS9NmrmRAZrahXDctP2,wcst,71,-3.1970053655410835,-0.1970680353310315,0.09950715321293609,0.0012407780013413815,0.08041958185591729,0.504976174791679,957.5529411768212,816.7722222225534,-140.78071895426774,0.8235294117647058,0.9444444444444444,0.12091503267973858,856.9746478875758,0.8873239436619719
146QT9LupyU2BAiTsB3PMIpVXM22,wcst,76,-1.9158468899267296,-0.10763880597458914,0.35469852907901145,-0.0005741626794258371,-0.04104256301219048,0.724823837370822,1151.7368421052631,1055.7526315811433,-95.98421052411982,0.9473684210526315,0.8947368421052632,-0.05263157894736836,1107.0973684215232,0.8947368421052632
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,wcst,60,-4.52155320928656,-0.17241770849915142,0.18772545731251242,-0.00013892747985551544,-0.008705091922302463,0.9473681699380095,1660.1333333333334,1554.0933333297571,-106.04000000357632,0.9333333333333333,0.9333333333333333,0.0,1564.9883333330354,0.9166666666666666
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,wcst,60,-6.511869963532389,-0.22805960723597385,0.07967798213953473,0.0014448457904973598,0.08340662394084487,0.5263551273363947,1600.3799999872842,1319.0066666762034,-281.37333331108084,0.8666666666666667,0.9333333333333333,0.06666666666666665,1412.5300000091395,0.9
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,wcst,81,-7.4494150859338255,-0.3816958993663788,0.0004381268805698889,0.00031616982836495024,0.030716727200503294,0.785454438550327,1574.3,1065.3476190453484,-508.9523809546515,0.95,0.9523809523809523,0.0023809523809523725,1367.0950617289836,0.9382716049382716
23AEyocWhqY955WHbxhHRSgQ1ms2,wcst,79,-5.505014605643346,-0.2615816141941992,0.01987851948348288,0.0006815968841285295,0.04191917391638969,0.7137619833562645,1396.23157894729,1069.6,-326.6315789472901,0.7894736842105263,0.9,0.1105263157894737,1270.7569620252787,0.8354430379746836
2h5FgHUEvBS1twD5DqbTIRrMm1f2,wcst,85,-0.5537815124699209,-0.02176371256745146,0.8432766683787556,0.0006839945280437755,0.04524562654288014,0.680941753943787,1493.2761904682432,1442.3181818181818,-50.9580086500614,0.8095238095238095,0.8636363636363636,0.05411255411255411,1395.2105882350136,0.8352941176470589
