outcome,outcome_label,subscale,subscale_label,base_ucla_beta,controlled_ucla_beta,beta_reduction,reduction_pct,n
pe_rate,WCST PE Rate,z_dass_dep,Depression,-0.9060054316250491,-0.4420200028976452,-0.4639854287274039,-51.21221270110713,170
pe_rate,WCST PE Rate,z_dass_anx,Anxiety,-0.9060054316250491,-0.7745265641740974,-0.13147886745095172,-14.511929273439977,170
pe_rate,WCST PE Rate,z_dass_str,Stress,-0.9060054316250491,-0.8064685755081415,-0.09953685611690755,-10.986342094922554,170
wcst_accuracy,WCST Accuracy,z_dass_dep,Depression,1.2698255363336415,1.229237155615384,0.04058838071825743,3.1963745850826077,170
wcst_accuracy,WCST Accuracy,z_dass_anx,Anxiety,1.2698255363336415,1.1591051217965713,0.11072041453707016,8.719340678622077,170
wcst_accuracy,WCST Accuracy,z_dass_str,Stress,1.2698255363336415,1.1164098405588831,0.15341569577475833,12.081635735387273,170
stroop_interference,Stroop Interference,z_dass_dep,Depression,-5.465774836980596,5.349440018130419,-10.815214855111016,-197.8715768153662,170
stroop_interference,Stroop Interference,z_dass_anx,Anxiety,-5.465774836980596,-5.306159530869653,-0.15961530611094243,-2.9202685963389805,170
stroop_interference,Stroop Interference,z_dass_str,Stress,-5.465774836980596,-3.2363341033627613,-2.2294407336178343,-40.78910676184061,170
prp_bottleneck,PRP Bottleneck,z_dass_dep,Depression,-9.180527069940965,3.446771874059234,-12.627298944000199,-137.5443789643049,166
prp_bottleneck,PRP Bottleneck,z_dass_anx,Anxiety,-9.180527069940965,-7.974570264713852,-1.205956805227113,-13.136030165148982,166
prp_bottleneck,PRP Bottleneck,z_dass_str,Stress,-9.180527069940965,-5.648483789957897,-3.5320432799830677,-38.47320805302936,166
