outcome,outcome_label,parameter,coefficient,std_error,t_value,p_value,ci_lower,ci_upper,n_obs,r_squared
cross_task_cv,Cross-Task CV,C(gender_male)[T.1.0],-0.0040930694147668185,0.037624997178678725,-0.10878590622423416,0.91352270118565,-0.07845735488217018,0.07027121605263653,153,0.014764992148129874
cross_task_cv,Cross-Task CV,z_ucla,-0.010253215177838474,0.027597933532297014,-0.3715211200809456,0.7107917469899419,-0.06479941481633714,0.044292984460660184,153,0.014764992148129874
cross_task_cv,Cross-Task CV,z_ucla:C(gender_male)[T.1.0],0.009738615264330038,0.036758718714611956,0.26493347986198557,0.7914369510061258,-0.06291350584887556,0.08239073637753563,153,0.014764992148129874
cross_task_cv,Cross-Task CV,z_dass_depression,0.030303537651764512,0.027497572986225852,1.1020440846522794,0.27226837617071026,-0.024044303425741893,0.08465137872927092,153,0.014764992148129874
cross_task_cv,Cross-Task CV,z_dass_anxiety,-0.01792679170707477,0.0269598358396605,-0.664944394086508,0.5071422613344397,-0.07121181705907534,0.03535823364492579,153,0.014764992148129874
cross_task_cv,Cross-Task CV,z_dass_stress,-0.005131728766418953,0.0272831922623508,-0.18809121443975738,0.8510681203873146,-0.05905585501218081,0.04879239747934291,153,0.014764992148129874
cross_task_cv,Cross-Task CV,z_age,-0.013102062414552286,0.018346702743664758,-0.7141371720908553,0.4762903741271458,-0.04936357849484106,0.02315945366573649,153,0.014764992148129874
cross_task_range,Cross-Task Range,C(gender_male)[T.1.0],-80.56862799871692,27.431744513800545,-2.937058121045999,0.0038552795462693705,-134.78636176240556,-26.35089423502827,153,0.0893456253869741
cross_task_range,Cross-Task Range,z_ucla,3.7147138805274347,20.121183216880876,0.18461706950766876,0.853787356037326,-36.05399109973432,43.483418860789186,153,0.0893456253869741
cross_task_range,Cross-Task Range,z_ucla:C(gender_male)[T.1.0],43.668448536783615,26.800155642411784,1.6294102586358647,0.10539677362834625,-9.300975362403449,96.63787243597068,153,0.0893456253869741
cross_task_range,Cross-Task Range,z_dass_depression,-17.94839536770496,20.048012052348547,-0.8952705794888215,0.37212623007886936,-57.572480500118644,21.67568976470872,153,0.0893456253869741
cross_task_range,Cross-Task Range,z_dass_anxiety,5.276293294547735,19.655957058959206,0.26843227621637455,0.7887481194961292,-33.57291099710811,44.12549758620358,153,0.0893456253869741
cross_task_range,Cross-Task Range,z_dass_stress,-11.831611968737572,19.891710718474783,-0.5948011277757398,0.552903456180984,-51.14677383516597,27.483549897690825,153,0.0893456253869741
cross_task_range,Cross-Task Range,z_age,-1.9194513870910277,13.37626844049451,-0.14349677532488778,0.8860970863785016,-28.357105058497453,24.5182022843154,153,0.0893456253869741
cross_task_sd,Cross-Task SD,C(gender_male)[T.1.0],-37.199468060044794,12.14915859963305,-3.0618966535812904,0.002621953183859581,-61.211788752093746,-13.187147367995841,153,0.08905029066762493
cross_task_sd,Cross-Task SD,z_ucla,-0.6013883811737726,8.91140721987908,-0.06748523171876022,0.9462883850747961,-18.21442439731731,17.011647634969762,153,0.08905029066762493
cross_task_sd,Cross-Task SD,z_ucla:C(gender_male)[T.1.0],18.644864482410153,11.86943620121231,1.57082983271824,0.11840177945313902,-4.814596200400729,42.104325165221034,153,0.08905029066762493
cross_task_sd,Cross-Task SD,z_dass_depression,-5.8055160853909245,8.879000674156993,-0.6538479158232661,0.5142453947869969,-23.35450187435051,11.743469703568664,153,0.08905029066762493
cross_task_sd,Cross-Task SD,z_dass_anxiety,0.1953283223157223,8.705364677654147,0.02243769555307795,0.9821296588318402,-17.010472940940517,17.401129585571958,153,0.08905029066762493
cross_task_sd,Cross-Task SD,z_dass_stress,-3.9099523669988065,8.809776870559258,-0.44381968175212105,0.6578345443980662,-21.322120107376623,13.502215373379011,153,0.08905029066762493
cross_task_sd,Cross-Task SD,z_age,-1.4347619754897818,5.924173239258525,-0.24218771422514274,0.8089769203347386,-13.143650824848182,10.27412687386862,153,0.08905029066762493
