predictor,outcome,r,p,n
ucla_score,pr_rate,-0.11209641169348604,0.13742065170246184,177
ucla_score,npe_rate,-0.011599701248878158,0.8782123857658517,177
ucla_score,pe_proportion,0.02775472477829033,0.7138375620460398,177
ucla_score,npe_proportion,-0.033065261460386644,0.6621785172261592,177
dass_depression,pr_rate,-0.12575219563286455,0.09535589082991934,177
dass_depression,npe_rate,0.008967394138302137,0.9057027825855499,177
dass_depression,pe_proportion,0.01249246261866722,0.868920154068121,177
dass_depression,npe_proportion,0.000786606869035352,0.9917093485914227,177
dass_anxiety,pr_rate,-0.09220761074342847,0.22221742782994724,177
dass_anxiety,npe_rate,-0.039714213789265325,0.5997035897692011,177
dass_anxiety,pe_proportion,0.0190304223334815,0.8014954226584231,177
dass_anxiety,npe_proportion,-0.0013495141559171507,0.9857769312830362,177
dass_stress,pr_rate,-0.15582031651500292,0.038355635018996914,177
dass_stress,npe_rate,-0.038831439365779874,0.6078450264644925,177
dass_stress,pe_proportion,-0.020553100912937026,0.7859814885498245,177
dass_stress,npe_proportion,0.006042607862327789,0.9363781864562443,177
