DASS,Model,Male β,Male CI,Male Sig,Female β,Female CI,Female Sig,Diff p
depression,UCLA → DASS → EF,-0.053,"[-0.166, 0.069]",❌,-0.129,"[-0.245, -0.023]",✅,0.671
depression,UCLA → EF → DASS,-0.005,"[-0.041, 0.008]",❌,0.014,"[-0.021, 0.055]",❌,0.516
depression,DASS → UCLA → EF,0.080,"[-0.071, 0.228]",❌,0.050,"[-0.048, 0.157]",❌,0.046
depression,EF → DASS → UCLA,-0.003,"[-0.200, 0.219]",❌,-0.232,"[-0.423, -0.062]",✅,0.011
anxiety,UCLA → DASS → EF,0.015,"[-0.071, 0.108]",❌,-0.034,"[-0.111, 0.028]",❌,0.946
anxiety,UCLA → EF → DASS,0.004,"[-0.021, 0.051]",❌,0.005,"[-0.012, 0.030]",❌,0.516
anxiety,DASS → UCLA → EF,0.018,"[-0.052, 0.094]",❌,-0.007,"[-0.074, 0.068]",❌,0.812
anxiety,EF → DASS → UCLA,0.067,"[-0.139, 0.300]",❌,-0.087,"[-0.215, 0.043]",❌,0.040
stress,UCLA → DASS → EF,0.058,"[-0.044, 0.209]",❌,-0.055,"[-0.136, 0.008]",❌,0.115
stress,UCLA → EF → DASS,0.008,"[-0.020, 0.045]",❌,0.011,"[-0.017, 0.045]",❌,0.516
stress,DASS → UCLA → EF,-0.004,"[-0.148, 0.106]",❌,0.004,"[-0.056, 0.074]",❌,0.105
stress,EF → DASS → UCLA,0.155,"[-0.046, 0.429]",❌,-0.127,"[-0.271, 0.002]",❌,0.000
