term,beta,se,z,p
Intercept,7.188892711839513,0.01848327930280481,388.940327853435,0.0
C(phase)[T.exploration],0.26439900923948984,0.008459663743152457,31.25408021725491,1.96498060383559e-214
C(phase)[T.confirmation],0.25708528489023685,0.008225830963265738,31.253412091533107,2.0064864147301388e-214
category_num_c,-0.03760308756167102,0.0024871051141763865,-15.119219267145215,1.2096828828561888e-51
C(phase)[T.exploration]:category_num_c,-0.0661352404189881,0.005078542666658741,-13.022483960442848,9.115656062944488e-39
C(phase)[T.confirmation]:category_num_c,-0.013070836745110202,0.004809828502995324,-2.7175265681448577,0.006577187465071189
z_ucla_score,0.017381957367623314,0.019640538285724388,0.885004123347133,0.3761544074676516
C(phase)[T.exploration]:z_ucla_score,0.0029313508993300077,0.008783478524233692,0.3337346236166441,0.7385798201832002
C(phase)[T.confirmation]:z_ucla_score,0.015052522065486712,0.008341717537723939,1.8044871451729634,0.07115497257322931
category_num_c:z_ucla_score,-0.0014286812751047118,0.002515693456182926,-0.5679075372213501,0.5700977537466603
C(phase)[T.exploration]:category_num_c:z_ucla_score,0.0009317600504602726,0.005242917725364017,0.17771784705921173,0.8589445684404228
C(phase)[T.confirmation]:category_num_c:z_ucla_score,0.005246628555391625,0.004846624575831191,1.0825324869508453,0.2790159880400471
z_dass_depression,0.005462475227323274,0.022724808930060274,0.2403749683500105,0.8100395817654598
z_dass_anxiety,-0.004705228299250889,0.022227568216809247,-0.21168434861410682,0.8323532993947163
z_dass_stress,-0.020924156070630306,0.02269201565221378,-0.9220933208984895,0.35647990055905543
z_age,0.00012989795255925459,0.01431539084192322,0.009074006710235463,0.9927600894942243
gender_male,-0.12448350124761984,0.029511502733847856,-4.218134954708525,2.4633137641756123e-05
Group Var,0.21789259243379105,0.023215462407595373,9.385666699557248,6.251964395727458e-21
