outcome,covariates,outliers,n,beta,pval,significant
pe_rate,None,Keep_All,151,1.0192999612980937,0.24584301951703372,False
pe_rate,None,Remove_3SD,148,0.9764676191585866,0.18302064056333522,False
pe_rate,Age,Keep_All,151,1.0113394694752318,0.2501987016705652,False
pe_rate,Age,Remove_3SD,148,0.9682515889494374,0.185030084172923,False
pe_rate,DASS_Depression,Keep_All,151,1.0045367131006198,0.24933969213773471,False
pe_rate,DASS_Depression,Remove_3SD,148,0.9418956532595261,0.19503591040733845,False
pe_rate,DASS_Anxiety,Keep_All,151,0.9790595182110348,0.26417726021899285,False
pe_rate,DASS_Anxiety,Remove_3SD,148,0.9189139278136631,0.2082052774298212,False
pe_rate,DASS_Stress,Keep_All,151,1.0256243998172594,0.2449070957687094,False
pe_rate,DASS_Stress,Remove_3SD,148,0.8975708141050145,0.22173597685990393,False
pe_rate,All_DASS,Keep_All,151,1.0029322115995043,0.2567014038104203,False
pe_rate,All_DASS,Remove_3SD,148,0.8680906314803023,0.23825008858795046,False
wcst_accuracy,None,Keep_All,151,-1.33787582446404,0.43861829186077284,False
wcst_accuracy,None,Remove_3SD,148,-1.3449149557090658,0.40237752299074936,False
wcst_accuracy,Age,Keep_All,151,-1.324209293681713,0.4441670055385665,False
wcst_accuracy,Age,Remove_3SD,148,-1.3309307634983654,0.4068560562036837,False
wcst_accuracy,DASS_Depression,Keep_All,151,-1.2855978322285546,0.4592180448807649,False
wcst_accuracy,DASS_Depression,Remove_3SD,148,-1.2715951381623505,0.43082462420618706,False
wcst_accuracy,DASS_Anxiety,Keep_All,151,-1.3072741862094268,0.45106499378237397,False
wcst_accuracy,DASS_Anxiety,Remove_3SD,148,-1.2850715523767002,0.42595068944612924,False
wcst_accuracy,DASS_Stress,Keep_All,151,-1.360463286341449,0.4358223219672588,False
wcst_accuracy,DASS_Stress,Remove_3SD,148,-1.2591156831044432,0.43824810684100124,False
wcst_accuracy,All_DASS,Keep_All,151,-1.3183372178314343,0.4536137684138507,False
wcst_accuracy,All_DASS,Remove_3SD,148,-1.234955904644118,0.4511481058313749,False
