loneliness_group,gender,mean,std,count,metric
low,female,11.61749475033405,3.6664704788549383,16,wcst_pe_rate
low,male,8.642247620827227,3.597647738945262,9,wcst_pe_rate
mid,female,11.3920383064096,7.299156162378713,15,wcst_pe_rate
mid,male,11.040021888087548,4.254752098295259,11,wcst_pe_rate
high,female,9.408038299264964,3.084438226718904,14,wcst_pe_rate
high,male,10.648787409886749,3.575793690717919,7,wcst_pe_rate
low,female,81.15598115197736,5.923143598523349,16,wcst_accuracy
low,male,85.75179784934542,4.80821854072226,9,wcst_accuracy
mid,female,80.55019996840689,10.548616147932284,15,wcst_accuracy
mid,male,81.11179135785336,13.442317274756894,11,wcst_accuracy
high,female,84.21661617056976,5.385931313088951,14,wcst_accuracy
high,male,82.99216582845226,8.939948569038263,7,wcst_accuracy
low,female,0.7633137536742357,0.43425485269635994,16,wcst_rt_cv
low,male,0.6979522638825242,0.23885707776037832,9,wcst_rt_cv
mid,female,0.7315355030515286,0.27322326755957377,15,wcst_rt_cv
mid,male,0.7038991958257393,0.23588184769159545,11,wcst_rt_cv
high,female,0.7918026062611337,0.30102821442702254,14,wcst_rt_cv
high,male,0.9100537795092233,0.30437837716955535,7,wcst_rt_cv
low,female,153.4546434423037,109.91707524035085,16,stroop_interference
low,male,111.16985018465596,118.73930244231465,9,stroop_interference
mid,female,158.56678543356108,108.25104317465227,15,stroop_interference
mid,male,122.41772787316395,79.59192992329349,11,stroop_interference
high,female,147.25121779886857,90.17480654739639,14,stroop_interference
high,male,164.2026727038229,84.98247181810976,7,stroop_interference
low,female,640.7183838544232,134.04598543774642,16,prp_bottleneck
low,male,461.87057860827076,128.54101994112816,9,prp_bottleneck
mid,female,697.5886560998217,123.0783029093185,15,prp_bottleneck
mid,male,585.517125919627,146.28325189529482,11,prp_bottleneck
high,female,599.1267719701164,135.7280618884194,14,prp_bottleneck
high,male,588.6019152764402,145.4245670787319,7,prp_bottleneck
low,female,-21.440434526891963,152.9338508468987,16,prp_t1_slowing
low,male,-130.56882045419584,310.6566151653453,9,prp_t1_slowing
mid,female,49.06936000766545,171.4615379883757,15,prp_t1_slowing
mid,male,-19.126622208379104,305.87204822825805,11,prp_t1_slowing
high,female,-33.13903949702652,299.74347557516637,13,prp_t1_slowing
high,male,-80.98940028137694,167.26120137890072,7,prp_t1_slowing
