parameter,coefficient,std_err,p_value
Intercept,10.842812508602364,0.6200526554967515,1.8023202347625345e-68
C(gender_male)[T.1],-1.000500294705152,0.8684284038045919,0.24928758607794554
age_mc,-0.052128500293605065,0.3620164146168336,0.8855045342372787
C(gender_male)[T.1]:age_mc,-0.008289669810192232,0.47577570594066193,0.9860987754641726
age_mc2,0.0027498787175418826,0.0380305051804217,0.9423574480386496
z_ucla,-0.5567298301058868,0.6990817642951432,0.42581527655169327
z_ucla:C(gender_male)[T.1],0.7019193319086586,0.7830151835778385,0.37002244782147187
z_ucla:age_mc,0.7560374026916458,0.3450008500201474,0.02842232681970395
z_ucla:C(gender_male)[T.1]:age_mc,-0.8952367437817326,0.38917644950381375,0.021429170297957347
z_dass_dep,-0.46263524074155277,0.49212324041435773,0.3471765008691111
z_dass_anx,0.003110371225404798,0.6360479201818383,0.9960982384985801
z_dass_str,0.08794326034769306,0.7230529520210701,0.9031938827937709
