﻿Task,Outcome,N,b,SE,t,p,delta_R2
STROOP,Stroop Valid Trial Count,220,0.235,0.146,1.61,0.108,0.0117
STROOP,Stroop RT Interference,220,6.141,9.365,0.66,0.513,0.002
STROOP,Stroop Accuracy Interference,220,-0.003,0.003,-0.93,0.354,0.004
STROOP,Stroop RT Facilitation,220,0.205,7.025,0.03,0.977,0.0
STROOP,Stroop Accuracy Facilitation,220,-0.002,0.002,-0.81,0.42,0.003
STROOP,Stroop RT Incongruent minus Neutral,220,5.936,8.087,0.73,0.464,0.0025
STROOP,Stroop RT Neutral minus Congruent,220,0.205,7.025,0.03,0.977,0.0
STROOP,Stroop RT Interference (Correct-only),220,5.108,9.72,0.53,0.6,0.0013
STROOP,Stroop RT Facilitation (Correct-only),220,0.344,7.042,0.05,0.961,0.0
STROOP,Stroop RT Incongruent minus Neutral (Correct-only),220,4.764,8.289,0.57,0.566,0.0015
STROOP,Stroop RT Neutral minus Congruent (Correct-only),220,0.344,7.042,0.05,0.961,0.0
STROOP,Stroop EZ-DDM v (congruent),220,-0.0,0.0,-1.57,0.117,0.0113
STROOP,Stroop EZ-DDM a (congruent),220,0.089,0.096,0.93,0.354,0.0039
STROOP,Stroop EZ-DDM t0 (congruent),220,-1.582,10.757,-0.15,0.883,0.0001
STROOP,Stroop EZ-DDM sv (congruent),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM sz (congruent),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM st0 (congruent),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM v (incongruent),220,-0.0,0.0,-1.16,0.248,0.0062
STROOP,Stroop EZ-DDM a (incongruent),220,0.04,0.092,0.44,0.664,0.0009
STROOP,Stroop EZ-DDM t0 (incongruent),220,2.598,13.802,0.19,0.851,0.0002
STROOP,Stroop EZ-DDM sv (incongruent),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM sz (incongruent),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM st0 (incongruent),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM v (neutral),220,-0.0,0.0,-1.5,0.136,0.0101
STROOP,Stroop EZ-DDM a (neutral),220,0.068,0.1,0.67,0.502,0.0021
STROOP,Stroop EZ-DDM t0 (neutral),220,2.824,11.178,0.25,0.801,0.0003
STROOP,Stroop EZ-DDM sv (neutral),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM sz (neutral),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM st0 (neutral),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM v Interference,220,0.0,0.0,0.59,0.555,0.0016
STROOP,Stroop EZ-DDM a Interference,220,-0.049,0.092,-0.53,0.596,0.0013
STROOP,Stroop EZ-DDM t0 Interference,220,4.18,10.827,0.39,0.7,0.0007
WCST,WCST Perseverative Error Rate,212,-0.165,0.576,-0.29,0.775,0.0004
WCST,WCST Valid Trial Count,212,-1.957,1.766,-1.11,0.269,0.0059
WCST,WCST Total Errors,212,-0.826,1.407,-0.59,0.558,0.0017
WCST,WCST Error Rate,212,-0.007,0.01,-0.72,0.475,0.0025
WCST,WCST Perseverative Errors (trial-derived),212,-0.239,0.746,-0.32,0.749,0.0005
WCST,WCST Perseverative Error Rate (trial-derived),212,-0.165,0.576,-0.29,0.775,0.0004
WCST,WCST Non-Perseverative Errors,212,-0.587,1.087,-0.54,0.589,0.0014
WCST,WCST Perseverative Responses (trial-derived),212,-0.434,1.07,-0.41,0.685,0.0008
WCST,WCST Perseverative Response Percent (trial-derived),212,-0.079,0.771,-0.1,0.919,0.0
WCST,WCST PR Ratio among Errors,211,0.02,0.019,1.05,0.296,0.0053
WCST,WCST NPE Ratio among Errors,211,-0.02,0.019,-1.05,0.296,0.0053
WCST,WCST Trials to First Category,212,-1.631,1.775,-0.92,0.359,0.004
WCST,WCST Categories Completed,212,-0.003,0.078,-0.03,0.973,0.0
WCST,WCST Trials per Category Mean,212,-0.241,1.248,-0.19,0.847,0.0002
WCST,WCST Trials per Category SD,212,-0.387,0.745,-0.52,0.604,0.0013
WCST,WCST Failure to Maintain Set,212,-0.071,0.083,-0.86,0.391,0.0036
WCST,WCST CLR Count,212,-0.389,1.02,-0.38,0.703,0.0007
WCST,WCST CLR Percent,212,1.471,1.447,1.02,0.311,0.005
WCST,WCST Learning-to-Learn Heaton CLR Delta,212,0.886,0.987,0.9,0.371,0.0039
WCST,WCST Learning Efficiency Delta Trials,212,0.334,0.417,0.8,0.425,0.003
WCST,WCST Trials to First Conceptual Response,212,-0.808,0.55,-1.47,0.143,0.0103
WCST,WCST Trials to First Conceptual Response (0),212,-0.808,0.55,-1.47,0.143,0.0103
WCST,WCST Trials per Category 1,212,-1.631,1.775,-0.92,0.359,0.004
WCST,WCST Trials per Category 2,210,1.023,1.037,0.99,0.325,0.0047
WCST,WCST Trials per Category 3,207,-0.049,0.85,-0.06,0.954,0.0
WCST,WCST Trials per Category 4,203,-0.9,0.763,-1.18,0.239,0.0069
WCST,WCST Trials per Category 5,199,-0.282,0.409,-0.69,0.491,0.0024
WCST,WCST Trials per Category 6,193,-0.174,0.349,-0.5,0.619,0.0013
