outcome,outcome_col,ucla_group,dass_group,gender,n,mean,sd,median,ci_lower,ci_upper
WCST PE Rate (%),pe_rate,low,low,female,20,10.704319042216994,5.509864159008463,10.382440075410717,8.46098378582995,13.137613907480551
WCST PE Rate (%),pe_rate,low,low,male,14,10.845360905737037,3.1474197412514133,10.38961038961039,9.346475611013362,12.476385005159997
WCST PE Rate (%),pe_rate,high,low,female,7,10.89492441637964,10.256266858204704,7.777777777777778,5.068236161986162,18.70596175866698
WCST PE Rate (%),pe_rate,high,high,female,23,9.117577747068232,2.6206530733096223,8.695652173913043,8.12355774840561,10.19781214383033
WCST PE Rate (%),pe_rate,high,high,male,13,9.032871256125166,2.9305261633502466,9.722222222222223,7.446576328551407,10.483637959522657
"PRP τ (long SOA, ms)",tau_long_soa,low,low,female,19,210.66358362583074,77.2464752015252,212.31223703798196,176.80277753294087,244.9005355104591
"PRP τ (long SOA, ms)",tau_long_soa,low,low,male,16,207.50474142166092,152.42559717572885,174.06182614032426,138.0970791696341,281.7764652656788
"PRP τ (long SOA, ms)",tau_long_soa,high,low,female,7,269.34678857842715,156.4963210903457,336.75950265846086,155.50095728445928,368.3241657594225
"PRP τ (long SOA, ms)",tau_long_soa,high,high,female,20,220.54644710667043,133.54988380738763,184.23284683765135,166.84012967849318,281.1856147301421
"PRP τ (long SOA, ms)",tau_long_soa,high,high,male,13,222.54662149297613,121.5728671964697,209.0782357165862,161.38466427672142,288.8113801847845
Stroop Interference (ms),stroop_interference,low,low,female,21,138.63544236968497,110.60181647722659,96.93293650330044,94.08713562309975,187.18888647783493
Stroop Interference (ms),stroop_interference,low,low,male,16,143.57100572968614,135.99878352717485,116.52499998278086,79.58129554570294,208.87429258254554
Stroop Interference (ms),stroop_interference,high,low,female,7,143.06526738207697,158.0828946923502,167.11220778804818,32.92590229817362,245.928526085904
Stroop Interference (ms),stroop_interference,high,high,female,24,139.4069799476823,105.55355072955118,123.07158730462896,99.51747428177923,182.6458514353678
Stroop Interference (ms),stroop_interference,high,high,male,13,131.3675183005473,96.32299077023507,128.31587302400953,81.24973919852795,182.72977918856782
