node_i,node_j,n_present,mean_weight,mean_abs_weight,sign_consistency,presence_rate,n_bootstrap,node_i_label,node_j_label
pe_rate,prp_bottleneck,462,0.16911933709834864,0.17526197649047,0.9004329004329005,0.924,500,WCST PE Rate,PRP Bottleneck (ms)
pe_rate,stroop_interference,424,0.08294301054181552,0.11495046962722415,0.5424528301886793,0.848,500,WCST PE Rate,Stroop Interference
stroop_interference,prp_bottleneck,476,0.21062994341439478,0.2130663199776245,0.9495798319327731,0.952,500,Stroop Interference,PRP Bottleneck (ms)
z_dass_anx,pe_rate,385,0.05005618990183022,0.09422359220973855,0.35064935064935066,0.77,500,DASS Anxiety,WCST PE Rate
z_dass_anx,prp_bottleneck,398,-0.05304952219123604,0.09998136563973423,0.32663316582914576,0.796,500,DASS Anxiety,PRP Bottleneck (ms)
z_dass_anx,stroop_interference,366,-0.00990456127922165,0.08134004373623932,0.07650273224043716,0.732,500,DASS Anxiety,Stroop Interference
z_dass_anx,z_dass_str,500,0.37035708108786397,0.37035708108786397,1.0,1.0,500,DASS Anxiety,DASS Stress
z_dass_dep,pe_rate,372,0.07265401176628442,0.08744397639751549,0.7096774193548387,0.744,500,DASS Depression,WCST PE Rate
z_dass_dep,prp_bottleneck,289,0.0008091878410005542,0.06601862163385626,0.10726643598615918,0.578,500,DASS Depression,PRP Bottleneck (ms)
z_dass_dep,stroop_interference,458,-0.15529873370414157,0.15791242748424272,0.9432314410480349,0.916,500,DASS Depression,Stroop Interference
z_dass_dep,z_dass_anx,493,0.24913365542283183,0.24913365542283183,1.0,0.986,500,DASS Depression,DASS Anxiety
z_dass_dep,z_dass_str,500,0.36701476280195955,0.36701476280195955,1.0,1.0,500,DASS Depression,DASS Stress
z_dass_str,pe_rate,363,-0.060002638776337734,0.09483038947903198,0.48760330578512395,0.726,500,DASS Stress,WCST PE Rate
z_dass_str,prp_bottleneck,420,0.12851399801762778,0.1342813682602663,0.8809523809523809,0.84,500,DASS Stress,PRP Bottleneck (ms)
z_dass_str,stroop_interference,401,0.10173163122799712,0.11757542210639821,0.7206982543640897,0.802,500,DASS Stress,Stroop Interference
z_ucla,pe_rate,441,-0.13587113435997256,0.14905200604943966,0.7913832199546486,0.882,500,UCLA Loneliness,WCST PE Rate
z_ucla,prp_bottleneck,446,0.12117625555111841,0.13511877091211646,0.7847533632286996,0.892,500,UCLA Loneliness,PRP Bottleneck (ms)
z_ucla,stroop_interference,397,0.0841207773517402,0.11448842394106108,0.5969773299748111,0.794,500,UCLA Loneliness,Stroop Interference
z_ucla,z_dass_anx,372,0.10191476858663684,0.11881091151279875,0.7688172043010753,0.744,500,UCLA Loneliness,DASS Anxiety
z_ucla,z_dass_dep,500,0.3803499433007153,0.3803499433007153,1.0,1.0,500,UCLA Loneliness,DASS Depression
z_ucla,z_dass_str,455,0.17614746334111095,0.17770865340805578,0.9736263736263736,0.91,500,UCLA Loneliness,DASS Stress
